Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Children of the Grave - 2014 Remaster,Black Sabbath,spotify:track:5clz8BOBulxx7q2yHxqOCk,0.318,0.65,6,-13.928,1,0.0375,0.0802,0.132,0.0962,0.368,149.994,317206,4,46.27592,10,0
Ballade de Melody Nelson,Serge Gainsbourg,spotify:track:1wPNVQqGT9LG39nzeyzIvF,0.363,0.184,6,-21.126,0,0.0435,0.355,0.00612,0.111,0.612,177.51,120603,3,33.18198,6,0
Werewolves Of London,Warren Zevon,spotify:track:6kotXaSQaGYxE62hVpdHWu,0.75,0.62,7,-8.72,1,0.0257,0.0932,0.0135,0.0612,0.93,103.538,209467,4,40.64715,10,1
In My Hour of Darkness - Remaster,Gram Parsons,spotify:track:28xYsYblby21yWGCRcF5Cm,0.625,0.496,5,-8.212,1,0.0265,0.514,0,0.135,0.587,113.458,229067,4,46.36195,11,0
What A Diff'rence A Day Makes,Esther Phillips,spotify:track:2zHvRK5rbC09xi2ZKbzf66,0.557,0.77,8,-10.854,1,0.054,0.0892,0.0241,0.0579,0.696,136.236,270533,4,30.79736,11,1
A Little Bit Of Soap,Paul Davis,spotify:track:4lgZJvM3yx4jdfRRUjDG3I,0.736,0.262,0,-13.234,1,0.0473,0.649,1.97e-06,0.148,0.738,126.596,152760,4,29.49525,7,1
I Miss You,Harold Melvin & The Blue Notes,spotify:track:2gSBJPEjYoj6UhsI25TC8r,0.441,0.489,2,-10.957,1,0.0441,0.648,3.39e-05,0.602,0.596,129.974,517707,4,38.96707,25,0
Sutter's Mill,New Riders of the Purple Sage,spotify:track:6tnhZWdcavTvAFaSt6R6H3,0.593,0.393,2,-7.861,1,0.0258,0.421,0.0124,0.235,0.574,102.214,112587,4,18.49308,6,0
I Get High On You,Sly Stone,spotify:track:2H5dTs26Xz9CFC7cV9DcRW,0.545,0.843,5,-9.717,1,0.0587,0.0919,0.00243,0.559,0.629,97.817,192373,4,21.69026,11,1
Urban Guerilla - 1996 Remaster,Hawkwind,spotify:track:0NC1BrTqOGTud1juOcHvsT,0.434,0.895,0,-11.599,1,0.0492,0.00513,9.59e-06,0.275,0.72,135.831,219133,4,27.58819,10,0
