Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Stay - Full Length Album Mix,The B. B. & Q. Band,spotify:track:6F0yz4EYh4fCwQOLYKlLgf,0.812,0.487,0,-9.199,1,0.172,0.17,0.00426,0.0975,0.659,120.003,327680,4,29.78938,17
She's A Passionate Lover - Full Length Album Mix,The B. B. & Q. Band,spotify:track:7DIiwJRnjroJgMDqeUWsmD,0.715,0.669,7,-9.616,1,0.143,0.344,2.58e-06,0.0728,0.906,119.251,259520,4,35.90688,14
We've Got To Do It - Full Length Album Mix,The B. B. & Q. Band,spotify:track:5Cw8YLqTYcL2AkoqLpKlro,0.845,0.621,7,-8.268,1,0.2,0.133,9.35e-05,0.256,0.77,120.43,274520,4,60.52403,11
Six Million Times - Full Length Album Mix,The B. B. & Q. Band,spotify:track:2Ze7Ar7IdWxrd8H7w0Eckc,0.666,0.877,11,-8.429,0,0.12,0.146,3.93e-05,0.289,0.399,119.268,348147,4,46.78934,16
She's A Women - Full Length Album Mix,The B. B. & Q. Band,spotify:track:5DP2rKES5ScdIuS35XDWDO,0.751,0.72,10,-10.209,1,0.0469,0.0512,3.17e-05,0.0726,0.975,96.354,368373,4,109.75119,14
Downtowne - Full Length Album Mix,The B. B. & Q. Band,spotify:track:4EYrmTSTjaclCpNIql7QsU,0.869,0.539,3,-9.333,0,0.0543,0.111,8.51e-05,0.129,0.966,121.614,319747,4,25.00619,12
Missing You, Missing Me - Full Length Album Mix,The B. B. & Q. Band,spotify:track:3jMwK0DxIwcvaTQZPZZTUr,0.651,0.4,9,-10.785,0,0.0309,0.792,1.28e-06,0.217,0.443,147.139,266533,4,43.06475,11
Keep It Hot - Extended Version,The B. B. & Q. Band,spotify:track:5NaraHTXUUwi6UHSIHCghr,0.854,0.633,5,-9.231,0,0.0686,0.0246,0.00532,0.0735,0.963,134.807,388653,4,66.6098,17
She's A Women - Promo Edit Miix,The B. B. & Q. Band,spotify:track:7mXTer2Fkx0TKH7TtKUW7r,0.622,0.701,10,-10.233,1,0.0505,0.0692,1.25e-05,0.033,0.965,192.775,303117,4,31.64032,16
88 Break Out Mega Mix,The B. B. & Q. Band,spotify:track:3FUEPF7TwFlGUgyqDYCQcx,0.475,0.88,7,-7.516,1,0.0667,0.0573,0.0345,0.092,0.626,112.246,551920,4,43.05155,22
Keep It Hot - Full Length Album Mix,The B. B. & Q. Band,spotify:track:71VAZUr2wcOBTY0fnlHSSp,0.855,0.717,10,-8.89,0,0.0499,0.0453,0.000976,0.0728,0.964,134.771,340840,4,51.92649,14
Stay - Full Length Album Mix,The B. B. & Q. Band,spotify:track:5uQFDGmG76yGRxLHeepx1N,0.812,0.487,0,-9.199,1,0.172,0.17,0.00426,0.0975,0.659,120.003,327680,4,29.78938,17
She's a Passionate Lover - Full Length Album Mix,The B. B. & Q. Band,spotify:track:3cdcKO0mLsC97cA2rqL48E,0.715,0.669,7,-9.616,1,0.143,0.344,2.58e-06,0.0728,0.906,119.251,259520,4,35.90688,14
We've Got to Do It - Full Length Album Mix,The B. B. & Q. Band,spotify:track:5KFe6dVg6u7DZvXcQmwVOQ,0.845,0.621,7,-8.268,1,0.2,0.133,9.35e-05,0.256,0.77,120.43,274520,4,60.52403,11
Six Million Times - Full Length Album Mix,The B. B. & Q. Band,spotify:track:6ucakPtxUXIddb5dK9WERN,0.666,0.877,11,-8.429,0,0.12,0.146,3.93e-05,0.289,0.399,119.268,348147,4,46.78934,16
She's a Women - Full Length Album Mix,The B. B. & Q. Band,spotify:track:0zOOIDXxaggu5yz7v4Cq3u,0.751,0.72,10,-10.209,1,0.0469,0.0512,3.17e-05,0.0726,0.975,96.354,368373,4,109.75119,14
Downtown - Full Length Album Mix,The B. B. & Q. Band,spotify:track:3gMsk463fGc1KNXJ5XYEK9,0.869,0.539,3,-9.333,0,0.0543,0.111,8.51e-05,0.129,0.966,121.614,319747,4,25.00619,12
