Roses,Silverchair,spotify:track:1gdt6xMCR2yUtZvNufQ973,0.359,0.649,9,-6.348,1,0.0535,0.0483,0.124,0.102,0.407,155.944,209000,3,30.96514,8
Wild Thing,The Troggs,spotify:track:0D9J4MkQVyn1690CBqLx4u,0.458,0.853,9,-8.575,1,0.139,0.741,0.0215,0.0851,0.671,202.509,158640,4,45.08544,8
Tezeta (Nostalgia),Mulatu Astatke,spotify:track:414J8tKHbtF16XOiHGBEso,0.546,0.355,5,-10.199,0,0.0368,0.954,0.92,0.0891,0.5,81.054,376640,3,63.7262,13
I Heard It Through The Grapevine - Single Version,Gladys Knight & The Pips,spotify:track:2xAUlBlUs3sCv81nHHcmGM,0.664,0.592,5,-10.143,1,0.042,0.112,7.14e-05,0.279,0.868,112.74,166640,4,27.58529,9
Everything To Everyone,Everclear,spotify:track:6BdD561PmmMhpUYI7Qhaut,0.646,0.945,0,-5.689,1,0.0473,0.0919,1.53e-05,0.0599,0.796,100.027,200267,4,59.93383,6
Anahit,Giacinto Scelsi,spotify:track:7iILveJLLpstcjPIpq4hMx,0.0669,0.0644,9,-23.236,0,0.0489,0.931,0.703,0.0706,0.0227,72.973,824053,4,124.78759,34
All My Love,London Philharmonic Orchestra,spotify:track:26KMXEdlXswkYDWIIFIz9d,0.148,0.192,9,-18.352,0,0.0361,0.882,0.908,0.0815,0.0609,78.352,635000,4,50.41568,29
Waiting on the Guns,Butterglory,spotify:track:1dvSDvpMi6Z4k2gcBoa84s,0.379,0.773,4,-9.38,1,0.0365,0.0272,0.414,0.0679,0.69,142.779,171720,4,59.17516,7
Jeremy Parker,Swirlies,spotify:track:0pVgFjjojISSczzmj66FTA,0.42,0.619,6,-12.339,1,0.0308,1.21e-05,0.449,0.268,0.686,86.024,253667,4,57.34378,12
I Need a Man to Love,Big Brother & The Holding Company,spotify:track:4bnIJ0cHPwPXBJbZMC7LSb,0.313,0.673,4,-10.916,0,0.0729,0.0878,2.62e-05,0.173,0.667,182.979,293173,4,26.04931,14
Deal Me In,Bantam Rooster,spotify:track:0TUIK6xd34IpNiw6CrAivi,0.352,1.0,7,-3.448,1,0.118,0.0873,0.931,0.395,0.101,166.2,85867,4,79.23687,3
Hypnotize,The Notorious B.I.G.,spotify:track:2ujbOwvdiH020TO5EucGiX,0.922,0.573,9,-5.161,1,0.277,0.131,0,0.305,0.66,93.929,230053,4,32.67507,11
A Nanny in Manhattan,Lilys,spotify:track:7KiUmY0FvIsAESslbud5Hh,0.531,0.959,2,-5.568,1,0.0505,0.362,3.05e-06,0.254,0.882,120.566,118707,4,41.42418,7
Superman,The Clique,spotify:track:41clFYmZA3TssqT3V5uEup,0.493,0.541,10,-7.344,1,0.0281,0.57,0.821,0.245,0.546,105.653,153333,4,27.66086,8
Cool Schmool,Bratmobile,spotify:track:3piPEvZQsCWNANsNMxH1LU,0.288,0.82,10,-5.524,1,0.0431,0.184,0.0164,0.0793,0.656,176.541,123200,4,32.93549,5
Why Does It Always Rain on Me?,Travis,spotify:track:2ESrrtLRj1omqqsnGiyafo,0.497,0.537,4,-9.264,1,0.0269,0.079,0.000139,0.0782,0.371,108.448,265000,4,28.44173,10
Estranged,Guns N' Roses,spotify:track:46TYXxwJDYD9JLd2PQLrkO,0.359,0.762,11,-8.323,1,0.032,0.0105,0.281,0.368,0.167,89.259,563893,4,24.02524,18
I'm Beginning To See The Light,Della Reese,spotify:track:0pjH35qYR6CaXCfXszUvYj,0.48,0.542,5,-10.399,0,0.0977,0.61,0,0.246,0.697,128.998,144427,4,44.11551,6
Rooster,Alice In Chains,spotify:track:0wvIGFIgbyz4JNwQhZgTv2,0.269,0.551,10,-8.456,0,0.0274,0.0307,0.000619,0.118,0.202,144.408,374333,3,122.23738,12
I'm On The Outside (Looking In),Little Anthony & The Imperials,spotify:track:2GMHqFwYnY3OGSvACE1pkE,0.383,0.282,7,-11.764,1,0.0467,0.82,1.76e-05,0.212,0.246,187.09,187733,3,20.78841,10
Breadfan,Metallica,spotify:track:5SZQ45ZPS89NEBrfromaCq,0.38,0.926,9,-7.49,1,0.0715,0.000338,0.136,0.638,0.148,123.285,341267,4,40.03816,15
