Sh-Boom - Single Version,The Chords,spotify:track:65q2B21oEbjSPrPHQb0MT8
Sportin Life,Flamin' Groovies,spotify:track:6tBsSGASZEEA1SJILyDZIE
Free Advice,The Great Society,spotify:track:1vbQbG8hEsVBJngEdMWmrw
Money (That's What I Want) - Anthology 1 Version,The Beatles,spotify:track:3joiqE0EKWpt5KOyIDrzju
Saints,The Breeders,spotify:track:260hSlqGqp5p4eewkuagRq
Burden In My Hand,Soundgarden,spotify:track:1iArQTuOzxvrtniGmkyy92
Right Turn,Alice In Chains,spotify:track:1szW8tOoDoLECq1ohwMuZr
Right from the Start,INDIA,spotify:track:0QbhstbgYQdwFbPov7Jmcv
I Depend On You,Two Tons Of Fun,spotify:track:6JQCT9EdDCSyInxpws2JzX
Land of Diana,The Freeborne,spotify:track:0ckwjjf5LlExBlSkwTcNWD
Against the 70's,Mike Watt,spotify:track:6L1DsVjF0u9E7THVZnd80j
Live Wire - Single Version / Mono,Martha Reeves & The Vandellas,spotify:track:0OovrROpw3cV2HaKkz18tt
Come Out and Play,The Offspring,spotify:track:5JJDu0Z5DKe7mR31MGksSg
Harlem River Drive,Bobbi Humphrey,spotify:track:6SzCJmFD2OspicHVEQVEw2
Ruby Soho,Rancid,spotify:track:6zOlYzDyJifRMxim69LoWj
Believe Me Never,Fastbacks,spotify:track:4ywMxN92MFpZ3mPnYR4xRE
Tune Up,Grant Green,spotify:track:4KODvA6t6YBktntIxy1QEG
Careless Whisper,George Michael,spotify:track:4fVdtkBSTaOuecdWKcXmRX
If I Can't Change Your Mind,Sugar,spotify:track:0b4Vn9aOGowJ3xr4SII7n6
Round ÃÂ¢ÃÂÃÂNÃÂ¢ÃÂÃÂ Round (Studio Recording 1977),Germs,spotify:track:6KRNWQe0zcSA2NB4Sd0Rnw
Just Another Day,The Soul Stirrers,spotify:track:6Qlxn5mzp52rSkzJEp4GES
Middle Age Crazy,Jerry Lee Lewis,spotify:track:2CXr8J9iGqYHzegZRL5VjU
It's All A Joke,Jack McDuff,spotify:track:6OmNyu8lgF17y5cpEtasNV
Stay (I Missed You),Lisa Loeb,spotify:track:00U1MDChdOTxWwtKoOoBXE
Itsy Bitsy Teenie Weenie Yellow Polka-Dot Bikini,Brian Hyland,spotify:track:3Aug2RunJbjGiz2CTtWu5l
Hurt So Bad,Little Anthony & The Imperials,spotify:track:6DQujLikM8f13WhvnRPyi8
Closing Time,Semisonic,spotify:track:087OBLtoeS3Q6j0k6tMNAI
Low Self Opinion,Rollins Band,spotify:track:0g1HLSNG4KxjDXdeYMnLym
Dominion / Mother Russia,Sisters of Mercy,spotify:track:669AJATkSuneVqfnq3UbBb
Sexy Eyes - Single Version,Whigfield,spotify:track:10orskJZtW5o2OChflgwr1
Strange Powers,The Magnetic Fields,spotify:track:7ywp9MWERblgkSMoMBugC0
Body Slam,Bootsy Collins,spotify:track:74vZGkx1kXboOIlDsK6oqV
Pretty Tied Up (The Perils Of Rock N' Roll Decadence),Guns N' Roses,spotify:track:5bGxSfPQfAsC6sBcHT3aZs
Sleeper,The Cassandra Complex,spotify:track:0wIvS1UMMItd9asnqmcTLF
Ultra Violet (Light My Way),U2,spotify:track:5WCtoomAl0y1mgVh1Yuj0a
Jenny Take a Ride,Mitch Ryder and The Detroit Wheels,spotify:track:3MyFpXcehGzFDz0aDuogd1
The Son of a Disgruntled X-Postal Worker Reflects on His Life While Getting Stoned in the Parking Lot of a Winn Dixie Listening to Metallica,Alice Donut,spotify:track:18uICe9Q7jbDZkAwnfPraR
Dragula,Rob Zombie,spotify:track:4QEFQlNFerDnWvNU8NASiV
Gett Off,Prince,spotify:track:0wFkjAM4VVoepQdYB6kl4U
18 and Life,Skid Row,spotify:track:1HlGblweLq0eAwnb0NY1EQ
Heaven Or Las Vegas,Cocteau Twins,spotify:track:1bwXRScnt3k6vSyVqcKyNj
Stale,Seaweed,spotify:track:4y5kWS4kG7iqRE0DuXJXTX
Kandy Korn,Captain Beefheart & His Magic Band,spotify:track:4nVObVt6w7zfi95AlISIXO
Maybe I Know,Lesley Gore,spotify:track:6G7Ftdkp2geGBdhTV6rpGH
To The Aisle,The Five Satins,spotify:track:6bUxUfFjJzFFbr2pGS5UBM
Venus De Milo,Television,spotify:track:3L3KIEN51634ZJg2DBDKHw
Ruby Soho,Rancid,spotify:track:1pNlZQeoPnlxqf1Mjgm0H2
Honey To A Bee - Latin Rascals Mix,Tina B,spotify:track:049p5AweSEG4CFFeRzS4XL
I Got You (I Feel Good),James Brown & The Famous Flames,spotify:track:5qr54MW1u7j9UsauFEuOXw
Gooden's Corner,Grant Green,spotify:track:6kE2cZTzVbgVqHggrWsJsB
U Can't Touch This,MC Hammer,spotify:track:1B75hgRqe7A4fwee3g3Wmu
Third Eye,TOOL,spotify:track:2Dqg2mRbfIVKhBZleNrgmH
Float On - Single Version,The Floaters,spotify:track:4kxDa9niTJIyh89afKjpCR
Harness Your Hopes - (B-side),Pavement,spotify:track:4tggZyGJMNJMooWuRbvN5q
Man in the Box,Alice In Chains,spotify:track:6gZVQvQZOFpzIy3HblJ20F
"Mini, mini, mini",Jacques Dutronc,spotify:track:5VySneRdTtys1LeFxpz6yt
When You Love Someone,Anita Baker,spotify:track:2zAZG31uyjPNjngfnPxH6t
My Heart Is a Flower,King Missile,spotify:track:214Xxg0jUhvG0DoAGTjWas
Wherever I May Roam,Metallica,spotify:track:4zJLpLsfY52ih6y8u4mhKH
Conga - Pablo Flores Dance Mix,Miami Sound Machine,spotify:track:2Mh9oM7LON6hhHzJqakdzH
"Flaming Sword - 12""",Care,spotify:track:7B9nB8k61f28XDEr9tkHO4
QuiÃÂÃÂ©n Te CantarÃÂÃÂ¡?,Mocedades,spotify:track:2yeuNAxIcAx2tk9CLTFcsJ
A Kid Who Tells On Another Kid Is a Dead Kid,Nation of Ulysses,spotify:track:5elOwyvAm49Q1OGrlQsSz0
My Favorite Things,Grant Green,spotify:track:3EpYphkIYiGjvZZ0MSEGXw
Face Of Time,Plague,spotify:track:4f07MmZW6GPImW4cV9OiGv
Two Tribes - Carnage Mix,Frankie Goes To Hollywood,spotify:track:1XFmzDde6J1785StM7dfyU
Show Me,Glenn Jones,spotify:track:0uzurgoEhQ9MT1LevKAYg4
"Rhythm Nation - 12"" House Nation Mix",Janet Jackson,spotify:track:4FBLmcuqm3tyAEJ0eLCpaa
Gold Soundz,Pavement,spotify:track:13YxuRQZdU7snOfDI3nft2
Heartbreak Beat - Extended Mix,The Psychedelic Furs,spotify:track:7gDgWFO50C4H9LzAAQ2EEh
You Got Me,The Roots,spotify:track:4pdLZsxq0y5oJDb6Cxlokw
Vibes Is Right,Barrington Levy,spotify:track:6XNVaIfnFR7JVLS5QnLJPN
Voodoo Cadillac,Southern Culture on the Skids,spotify:track:0gttlpC5vGHm0Nvtf3Mhg5
Out of Hand - Extended Version,The Mighty Lemon Drops,spotify:track:4w05QDY5c3KnoFoiuUFhf3
This Town,Gumball,spotify:track:4P1CHsnB8ckVqTz0t0IteE
Josey,Deep Blue Something,spotify:track:3uuf4C2kbmb4PYGZEmupIG
Grace,Jeff Buckley,spotify:track:113VT0dXCsqDAAfe8JQ2xm
Sad Day For England,Care,spotify:track:5GaepkV04Tdtp8QLJMpyG2
Navy Bean,Tracy Bonham,spotify:track:3dqZWdWGtbp2e3qU6dfiuc
Bia Bare Safar bandim,Mohammad Nouri,spotify:track:6BLIufscOwtuHJPVkla5UM
Blue,The Jayhawks,spotify:track:5cDfI3KOa64zbuUgD6a4hG
Vacation,Connie Francis,spotify:track:5vEITnXdh3ou2h3FQo8fDZ
Forever and One (Neverland),Helloween,spotify:track:0B6qYQS41EcbC66r7c4DBB
Stellar,Incubus,spotify:track:6ISuXA3UCPMtsyEUGUTAyn
Love Hurts,The Everly Brothers,spotify:track:35QoHS1xi2n5SQ2xora5en
"I Can't Help It - Original Tee Scott 12"" Mix",Junior,spotify:track:5MJu2k7SJRI2PaETxxuSiO
Cursed Female,Porno for Pyros,spotify:track:3qduQ8xxlZ0dl1QyLttKPS
Hold Me Down,Lipps Inc.,spotify:track:7BU0CXSr1qSVprtZBVKqoJ
Make It Mine,The Shamen,spotify:track:0qpbT8kXNOaSZGEvY6vjpu
Tantos Deseos De Ti (Tanta Voglia Di Lei),Silvana Di Lorenzo,spotify:track:5oFBt0ZdqHtnvN6rWwAHhl
Dream A Little Dream Of Me,The Mamas & The Papas,spotify:track:4GQaSM60Y9UvCNYOKHPIxd
Changing Stations,Eyeless In Gaza,spotify:track:11lx7K7v9lzf1miQ0xGr1r
Dallas,Jimmie Dale Gilmore and the Flatlanders,spotify:track:6iQPJ4h3R8fmelLLuEXqap
For You I Will,Monica,spotify:track:2b29qJRy4asbQNFjPO96XC
We Don't Need Another Hero (Thunderdome),Tina Turner,spotify:track:1qyJ6XpMHdsJD8pkiA7Qww
Cecilia,Simon & Garfunkel,spotify:track:3fXaVIXlG8Eu7Xq9xa8tw2
Headache,Frank Black,spotify:track:4cfwFpKAAMjkUpDd0ZwWGs
London Homesick Blues / Home With the Armadillo,Gary P. Nunn,spotify:track:1AZj66XqCgy3LfjPZ5mZOP
I Still Haven't Found What I'm Looking For,U2,spotify:track:5UQzaJnSGvBD5QyA6VpHy8
Bottom Dollar,Billy Joe Shaver,spotify:track:41nuKpcxFzxqSSsZRA77Ze
Come-On-A-My House,Della Reese,spotify:track:6qQJBjuWNFyziEPkAGLesG
Rama Lama Fa Fa Fa,MC5,spotify:track:1oW0vq6OLqWnL1GlR8PaWe
Crawl Away,TOOL,spotify:track:1KCndc1SfLo9i9YWXdjy9D
Come Go With Me,The Del-Vikings,spotify:track:4IYyGIbMS5ZkxDXGfPIrXr
Sieve-Fisted Find,Fugazi,spotify:track:6Lcpfn4PgkP1c9Y124gEOu
A Nanny in Manhattan,Lilys,spotify:track:7KiUmY0FvIsAESslbud5Hh
Bleach,Lowlife,spotify:track:0A0aPvahsJpOOQY4miqEzX
Ambitionz Az A Ridah,2Pac,spotify:track:3ssX20QT5c3nA9wk78V1LQ
If We Are Only Friends,Tracy Huang,spotify:track:73Pmjv7d9rUaZcmkStvEBE
Real World,Matchbox Twenty,spotify:track:70fe354BpVKEvMY0de78YO
The What,The Notorious B.I.G.,spotify:track:4dTtYVQzlwBMpVyQ4h3wy2
One Way,Levellers,spotify:track:6lufyj9TmhXAvuWv9lLSPj
Dancing On The Floor (Hooked On Love),Third World,spotify:track:3fypyAYCCjjGIw9w7hU5yD
Hush,Kula Shaker,spotify:track:4041m5Nr5GuEaqDSq9wjXa
Underwhelmed,Sloan,spotify:track:7EPKTiAQSvu9HwZDqvGelg
Enter Sandman,Metallica,spotify:track:1hKdDCpiI9mqz1jVHRKG0E
Funny Like A Clown,Six Finger Satellite,spotify:track:6bdqQ3EF2sYtwR9fSli5Py
(Baby Tell Me) Can You Dance,Shanice,spotify:track:0wLLY7tGYpv5hNDBlGzF1B
Great Legs,Chixdiggit!,spotify:track:1Oy275WT5ocznzaOVnP6ZS
Mesopotamia,The B-52's,spotify:track:08xvWfWdh3nh6b3vEKbTBQ
You Can't Hide Love,Creative Source,spotify:track:3x6tXsk8DrZNWtBtoA4BO3
Let Me Be the One,Five Star,spotify:track:7Ly6unSf5gXUdF3S3nGlSH
A Certain Shade of Green,Incubus,spotify:track:6zU4ims9oVbprKkjpdGD5c
Drive,Incubus,spotify:track:7nnWIPM5hwE3DaUBkvOIpy
A Beautiful Morning - Single Version,The Rascals,spotify:track:3QwbKe0s8TcNclzXAXHeHy
Try It Out,Gino Soccio,spotify:track:2hX4jY6URV3FsPgC7jqDAS
Ugly Woman,Hasil Adkins,spotify:track:62qTWCnJ1buQRyrTnfuGVt
We've Gotta Get Out of This Place,The Animals,spotify:track:48t1ooCntbAzQW4HVGofkc
Detachable Penis,King Missile,spotify:track:7wXPymdFwPwxd6pwt267Tx
Mystic Brew,Ronnie Foster,spotify:track:3NQi07SXRVAjLTkxhOkk2N
Don't Turn Around,Ace of Base,spotify:track:4SYMibQ93bfzOk6uzkF0dO
The Nitty Gritty,Gladys Knight & The Pips,spotify:track:7z7XwXQcIcSd5KRVbwmxTc
Right Down to It,Damian Dame,spotify:track:31tcr4OcLi2TXE5u4Iwhjc
Let True Love Begin - Previously Unreleased,Johnny Maestro,spotify:track:4ZSCJm0KCPhxEYYuueznHN
Take Some Time,Sparque,spotify:track:38Cb1yZUbZSlXqqfS5xies
Clumsy,Our Lady Peace,spotify:track:5IOUNrN8E37eLGdLNRr9aC
Space Jam,Quad City DJ's,spotify:track:683hRieVmYdAhVA1DkjSAk
Merry Go Round,The Replacements,spotify:track:3MxOCxCTTaLVCaAsm0ytFC
Images,The Freeborne,spotify:track:5jWsTOFel1SeifrWFd5yLH
Get Enough,ivy,spotify:track:4n4ayAy6TjN3HAAM0Bg3fo
Chick Magnet,MxPx,spotify:track:4KLsA7o43EsGg2swkuol2J
Fell On Black Days,Soundgarden,spotify:track:1wlKw9NAWVWpx7OIAyg9EA
Don't You Want My Love,Nicole,spotify:track:49nOHKwwDCwJedwecPVzwz
Kinky Afro,Happy Mondays,spotify:track:2ItPID4dgSL1t1ZbZCrg5S
This Is a Call,Foo Fighters,spotify:track:2wO8aOvN1ogLy1N8XT1WJE
She's so High,Tal Bachman,spotify:track:7mnGQesk1TzQLzQ9bYWZPR
Writing to Reach You,Travis,spotify:track:2sEVSoY0BEBdzS3DY1opmV
Get a Life,Poster Children,spotify:track:6LRsVYGNPeiIWNzuZCcBIr
Waiting on the Guns,Butterglory,spotify:track:1dvSDvpMi6Z4k2gcBoa84s
The Sign,Ace of Base,spotify:track:0hrBpAOgrt8RXigk83LLNE
Leather Rebel,Judas Priest,spotify:track:7jKqBoo7SCSQnYd8xRW6AV
Here I Go Again,Whitesnake,spotify:track:1tQ5TSr1tyeQUbHKBee0jv
People Get Ready,The Impressions,spotify:track:7mJIrjmjWH37U9MG2U4oZC
Siren,Old Time Relijun,spotify:track:2rElL2fLoAjKORz2taZRU0
The Pusher,Steppenwolf,spotify:track:2PjsNj2h2WlgTL67ruElxV
Again,Janet Jackson,spotify:track:0IaMMHVbpJ0LrRAeigWOXr
Groovin',Booker T. & the M.G.'s,spotify:track:29bU062RLWPo6OR6rjonrN
Man! I Feel Like A Woman!,Shania Twain,spotify:track:0IF0vGwaJQ8ZCh0QxhW6OV
Don't Touch My Bikini,The Halo Benders,spotify:track:1fcZq96QZkAkEHcC1FlH9l
Lay It Down,Magnapop,spotify:track:1nG2q0FqmLLH82JnoYSAew
Stars,Hum,spotify:track:6lQE6LF3MU63Z6VyhPxaV3
She Blinded Me With Science - Extended Version,Thomas Dolby,spotify:track:1vORDwbaam9l3Z7OMXdzhw
Lia On the Wire,Sharon Redd,spotify:track:1jH1GdWhXYLBikpAOSNtXl
Heading for the Door,Duster,spotify:track:7fR7pgBcRGjTYCOJzjnYEc
Satisfaction,Television,spotify:track:36exC4QrCa0SCpBa1p9ejw
I Second That Emotion,Smokey Robinson & The Miracles,spotify:track:6Hd8mrDwBQ8rLo70FwFG5C
Always The Sun - Sunny Side Up Mix,The Stranglers,spotify:track:10BQIOZ8dhGwOOGBVA97qz
Laura - Live,Lou Donaldson,spotify:track:7jUGhDZ3l5TJwSG0vYw75Q
Miss Fay Regrets,The Pretty Things,spotify:track:1i6Gormy4zgy4HI06MxvMi
"The Truth - ""12"" A Side - Silas Mix""",Colonel Abrams,spotify:track:4RzMbXNS97RFwK0Cy6mP5d
Everyday - Single Version,Buddy Holly,spotify:track:5TuihWGVJZVtzvYGpiTqbo
Roll Roll Train,Hasil Adkins,spotify:track:4uHPaGoeZfSzuUdkufgZqk
Soul One,Blind Melon,spotify:track:3uNDPS8AMIgsDiDQ14cRId
I Fought Piranhas,The White Stripes,spotify:track:2VywaLNS5pFvfajGgHjcPH
Going Away,Gangway,spotify:track:5Fn1UpD63H8fII33twDKPh
Turiya & Ramakrishna,Alice Coltrane,spotify:track:4DVu7YgHVJaeN0C7HNpy2q
Ready Set Go,Daytonas,spotify:track:0nKB1shcntnnxWQA6TZ3o7
A Sunday Kind Of Love,Etta James,spotify:track:7ohRd2nzMP6dyPfzpbh5QV
Slave To The Rhythm - Hot Blooded Version,Grace Jones,spotify:track:3di2SUB3jU1v5HPQCkc84L
Tell Laura I Love Her,Ray Peterson,spotify:track:1EwpgXlVIzs1E7XBZoRVQl
Sex & Candy,Marcy Playground,spotify:track:5mkGfmJGFZpwK9nA5amOhv
So Different,Kinky Foxx,spotify:track:0F2ltspyn8RmgvPzXZRZVy
(We're Gonna) Rock Around The Clock - Single Version,Bill Haley & His Comets,spotify:track:5PZf7EZr7GfkOAgeEcsqPa
"Bit By Bit (Theme From ""Fletch"") - From ""Fletch"" Soundtrack",Stephanie Mills,spotify:track:53435bte8yCZDBipvsq7cm
Early Retirement,Janitor Joe,spotify:track:2cTHkVKdVFS7ajC0OH4NZy
The Kids Are Insane,Urge Overkill,spotify:track:7c90NWIfzYB2T2pIyGlLxn
Eight Miles High,HÃÂÃÂ¼sker DÃÂÃÂ¼,spotify:track:2LXPIpt45CJ2dorhMNCE0F
Tighten Up,Archie Bell & The Drells,spotify:track:3Dz56mnkM3SwGea8vmtrG9
Swayin' To The Music (Slow Dancin'),Johnny Rivers,spotify:track:3ARNUtmd0qaWCDgLHBLjom
Jazzie's Groove - Piano Version,Soul II Soul,spotify:track:7cNtYcacepWrWsRTs3KYxR
Nothing Compares 2 U,SinÃÂÃÂ©ad O'Connor,spotify:track:3nvuPQTw2zuFAVuLsC9IYQ
Molly Mae - Unreleased Version,Johnny Maestro,spotify:track:0KXkd2tiVH5riTwKxLU5i6
The Music Got Me,Visual,spotify:track:0vq9jHvwnE4srMnPMe1SZP
My Funny Valentine,Anita Baker,spotify:track:5nAIQ6Myk5ZopfjWQ5bx6P
Suspicion,Terry Stafford,spotify:track:17YtDVU9bUluyihdOKWfxu
Talk To Me,Joey Moskowitz,spotify:track:14QzP71jNp2vTBzT7KDwaA
Where The River Flows,Collective Soul,spotify:track:2CWUT92RfJa7il0QwK9VAG
In Bloom - Nevermind Version,Nirvana,spotify:track:55n69wdvbtg1VmQ9rci2WE
Ready to Go,Republica,spotify:track:5Qt8U8Suu7MFH1VcJr17Td
Strength,Comet Gain,spotify:track:3GVe3Kgd4nL9wTmB9besp5
Window Pane,The Real People,spotify:track:4fTTE6XEtcV8kTOqw6oSmq
"Take My Breath Away - Love Theme from ""Top Gun""",Berlin,spotify:track:15MJ5NThPjj6xhPcts8MiY
ÃÂÃÂ¡ÃÂÃÂ»ÃÂÃÂÃÂÃÂ¶ÃÂÃÂ¸ÃÂÃÂ»ÃÂÃÂ¸ ÃÂÃÂ´ÃÂÃÂ²ÃÂÃÂ° ÃÂÃÂÃÂÃÂ¾ÃÂÃÂ²ÃÂÃÂ°ÃÂÃÂÃÂÃÂ¸ÃÂÃÂÃÂÃÂ°,Lyube,spotify:track:4za8d8KiWueRsmVfa6o45j
Whiskey In The Jar,Metallica,spotify:track:77gY3WsOnEsq9JOWgBmdLj
Emperor Penguin,The Tragically Hip,spotify:track:52PyLDWZmgeP1H06ltxgdK
Playas Oscuras,Los Visitantes,spotify:track:5N7oqsGGw7zQ8PVfAKS4XY
These Arms of Mine,Otis Redding,spotify:track:1PXMeiIRNZnj4jj77DPwKz
Rocket 69,The Lee Harvey Oswald Band,spotify:track:25Dz6IRdBbmBHVfanpJ5x6
Sorry Again,Velocity Girl,spotify:track:6RAYhzwQ1o459lRlZWVr1g
Peanut Vendor (El Manisero),Anita O'Day,spotify:track:0Le9Ot5BsAEwB2qy0Q58Bk
Bluebeard,Link Wray,spotify:track:45o2mugLsOEPrnvj372r23
If You Were Here,Thompson Twins,spotify:track:7q4woYj5egnMVWOJWUDHPs
Too Many Fish In The Sea - Single Version,The Marvelettes,spotify:track:6NcyI4rN4tCETBWnABr9NK
I'll Take Good Care Of You,Garnet Mimms,spotify:track:3rtLq4R8PM0HlPXZ8CU8qY
Reach Up,Toney Lee,spotify:track:5o4uR9SWoccb7qJ8rUZYD5
Round 'N' Round,Germs,spotify:track:3ylrUjNWaXfnGIYRuKJtiX
Undertow,TOOL,spotify:track:4Wvnm0J3Zz9cmMdEMMghGA
Butterfly,Jamiroquai,spotify:track:7hdJWwioDiL1PwcngbYpzD
Kid's Garden,The Brian Jonestown Massacre,spotify:track:3uutbHBkhlr02d14VkbU9D
Victory,PJ Harvey,spotify:track:4hODzJHI7vbGQIBrrO1ICj
Travel With Your Mind,The Seeds,spotify:track:3ferpFGWPYGaZ0GmkEYQgD
Blue Moon,The Marcels,spotify:track:42ojLX3UYsp4XhaX0sx29E
Zoot Suit Riot,Cherry Poppin' Daddies,spotify:track:1qmJbXpVLydNcN6VTR40GU
Sweat,TOOL,spotify:track:3vjHuVFZGC0Bm2Ud0wNpgs
Black,Pearl Jam,spotify:track:6qgpO647NPBUvBkm56vV7d
Fascination Street - Extended Mix,The Cure,spotify:track:2zyXxyPnEMp8sFDIBV49RT
"Every Time I Close My Eyes (with Mariah Carey, Kenny G & Sheila E.)",Babyface,spotify:track:2ezqQeBiC72gwMJoO4w1hA
Havin' A Bad Day,Blue Flannel,spotify:track:3Gq67aY9XNjBPe1hOfBlOL
Back To Life (However Do You Want Me) - One World Remix,Soul II Soul,spotify:track:41k3TdCIcig3faspsOEtt9
Mmm Mmm Mmm Mmm,Crash Test Dummies,spotify:track:31v2AQlx4pDI7kmnLxBkem
Steppin' Out,Paul Revere & The Raiders,spotify:track:7xM60hOQwp5DIG0TblEiPq
Superball,Helium,spotify:track:3fpVjvSh3AwYQEnp4obNNy
In the Blood,Better Than Ezra,spotify:track:5NDEmY6IUl9fKEsZNcPKgo
I Ain't Got Nobody,Sammy Davis Jr.,spotify:track:1mYU1xNK2THM44DpukZGY4
"How Come, How Long (feat. Stevie Wonder)",Babyface,spotify:track:6kTakcO9wwXh8tEqmJSV8h
Lunchbox,Marilyn Manson,spotify:track:1EYTOP6cIzADbgxCFG87ML
Pocket Full of Rainbows,Jan & Dean,spotify:track:5obt1hqMSHTfDMFwzYMKQC
Win Or Lose,Sam Dees,spotify:track:3rbkg8h6onwZLP0QJXt6oI
King Of The Road - Re-Recorded In Stereo,Roger Miller,spotify:track:36Ew5C2l5r1GAZifRhp4YG
GOLDEN GLASS,The Misunderstood,spotify:track:6959x4i3zjfxh4Jm047mg0
A Girl Like You,Edwyn Collins,spotify:track:6XOINCZBv8Q7RXgNNiTwIN
"When You're Hot, You're Hot",Jerry Reed,spotify:track:6sykijVtS1m8vxLnkKXrJ5
QuÃÂÃÂ© SerÃÂÃÂ¡,JosÃÂÃÂ© Feliciano,spotify:track:6idfK1mtEHiow7mHGnqhAd
Golden Hill,Tristeza,spotify:track:3FhASv6CcevRilYRxpCZrK
The Moron Brothers,NOFX,spotify:track:7B0XWr4O3lvYjNHSXPLsbI
Every You Every Me,Placebo,spotify:track:4arleVbvlZQ0TUWpBveUM6
California Dreamin' - Single Version,The Mamas & The Papas,spotify:track:1A9ZxPY2JpLSmy2qjiIfGY
People,Silver Jews,spotify:track:6XsUPMoCyKYjUFD0ak09xb
RPM,Sugar Ray,spotify:track:125Y5UGEaFtoIsOZxZDctX
Cold Turkey - Live,The Plastic Ono Band,spotify:track:1xJeOGRdXp2yPCeTBPgIOp
Everybody Hurts,R.E.M.,spotify:track:4tCWWnk3BXinf7FllmSyHW
Days of the Broken Arrows,The Idle Race,spotify:track:7ja7aQuGPAxk9jW4hlOTfI
Da Ya Think I'm Sexy?,Revolting Cocks,spotify:track:2pCEaJskwTTp7omAyUKvR0
Ball and Chain,Social Distortion,spotify:track:4CsTkNvkwQLel6sxQqrXSj
Sherry,Red Squares,spotify:track:3scYu6qncE0pedwRKFNWbt
Jimmy,TOOL,spotify:track:09KJ3XQZ9RQ5prbSp59Wbc
Down with Disease,Phish,spotify:track:3B1cnD5CuR6WSN71V7Rlco
Better Days (And the Bottom Drops Out),Citizen King,spotify:track:460Wn6Dq2uMviG5nPXtPnb
Turn The Page,Metallica,spotify:track:7HPhrbgMHV5cUskknWA2oo
Runaway,Bon Jovi,spotify:track:4lhd8uthpRxcQ3Wsccu5be
That's Where I Went Wrong,The Poppy Family,spotify:track:3P6JWWqtWFKPB8Gr47TI3C
The Outlaw,Link Wray,spotify:track:3UvHTj539G9vD4qY8dThlm
Keep a Knockin',Flamin' Groovies,spotify:track:2EyyGPTvtSTVR3jDN6rAuI
I'm so Bad (Baby I Don't Care),MotÃÂÃÂ¶rhead,spotify:track:1ELzeo039sulsVsbs9eQZO
Mogwai Fear Satan,Mogwai,spotify:track:1Ipg5JcUbE2gnLzmkxcDJ9
St. Louis Blues,Eartha Kitt,spotify:track:6TS0yRpgoITt2q96YjC98s
Goes So Slow,Even As We Speak,spotify:track:16SPDzgYWG57vbUYQuENXV
RUNNING IN THE 90'S,Max Coveri,spotify:track:6DlPa2rrVK3BygXJ48WYo3
I Got You (I Feel Good),James Brown & The Famous Flames,spotify:track:3cixmbMZh6j5M27KTZFg79
Itchycoo Park,Small Faces,spotify:track:0fYgtNCNCjFDeJWTIMukNU
One Inch Man,Kyuss,spotify:track:1WPAQR4AGJq9LmZOI6KEax
Trompe le Monde,Pixies,spotify:track:1Vr6yWwrJz8euAwenCikbJ
You've Got the Makings of a Lover - Live,"Sly, Slick & Wicked",spotify:track:2v1phQ244HrX1VfENUq0aa
Dreamin' of Love,Stevie B,spotify:track:40bUx81llF44hfd73XuXe8
Alice,Sisters of Mercy,spotify:track:37XVpHmFM8P42ghW4Swczc
Someone to Pull the Trigger,Matthew Sweet,spotify:track:6gex4z1I6XU89QP2gS85uP
Too Bad,The Bad Roads,spotify:track:1ozum26YpXWDtzL5rt4GZg
Corpse Pose,Unwound,spotify:track:0zjs4f3SvXV2oggjg8oGnA
Every You Every Me,Placebo,spotify:track:3tRv4ZYZimrL27flnjgeR6
Moody River - Single Version,Pat Boone,spotify:track:0MszZ3Kmozs9FKS0jOue2I
Nancy Boy,Placebo,spotify:track:1ZOeXUr9ieWw80zs1T6pkp
Painkiller,Judas Priest,spotify:track:0L7zm6afBEtrNKo6C6Gj08
You Always Hurt the One You Love,Des O'Connor,spotify:track:0iC3ltZRBo9PmhmyPDunEJ
I'm Only Shooting Love - American Remix,Time Bandits,spotify:track:2O9Bb1XxHc7WCCYGDVZDqF
"Knocked Out - Pettibone 12""",Paula Abdul,spotify:track:4dqztzJhxpSeWxvnxUbwA8
Mysterious Vibes,The Blackbyrds,spotify:track:6lqYjlQyDzNWE0MGc78b4c
Step by Step,New Kids On The Block,spotify:track:6J6RWKCPN5RFKHUKEUFjxS
"How Soon We Forget - ""Extended Version""",Colonel Abrams,spotify:track:53sLRX5EHm68FwnXVEwQ0h
You're a God,Vertical Horizon,spotify:track:4SKlwyLMGQdzul5S5TvCh5
Sincerely,The Moonglows,spotify:track:5XyAUuCuGaBEx42WhFQ1fO
Sex Type Thing,Stone Temple Pilots,spotify:track:2nWjhmRImt6LScZIPQMBnM
Where The Streets Have No Name - Single Edit,U2,spotify:track:4wdsLAZRU3eR3pqYkUKh0G
Captain Bicardi,Duke Pearson,spotify:track:5Ob7OTaufDYIIV3ubpm39F
Big City After Dark,Link Wray,spotify:track:5zoIGpOfPPF8d1gplZkhme
Listen Love,Jon Lucien,spotify:track:02p9La6AiSQ5L3NNr7QvC3
Horn In,Duke Pearson,spotify:track:26m4D8ZiXybN6f9grmUE0j
Do Your Duty,Bettye LaVette,spotify:track:3A1usHO2sUnARhY3n1m3AF
Got You (Where I Want You),The Flys,spotify:track:1xpd5XqLsrQDBa81ON2kOb
FM,Steely Dan,spotify:track:4q1svnkWLvkHfceES1M7ya
Why I'm Here,Oleander,spotify:track:0hgOGzUYKKQbQcWDoJpM6H
