Sh-Boom - Single Version,The Chords,spotify:track:65q2B21oEbjSPrPHQb0MT8
Everything Counts - US Version,Depeche Mode,spotify:track:4n4Kai2HGZZWCU3lXq2WEk
"The Good, The Bad and The Ugly",Hugo Montenegro & His Orchestra,spotify:track:5c3SBfvWYFtf5FQiNkg6FV
Sing Sing Sing,Country Joe & The Fish,spotify:track:607B6idSUjCSmiR5Y4jAlH
Knockin' On Heaven's Door,Guns N' Roses,spotify:track:2C4aYxNpoPkmoZ3ZdPeuOB
Pole Position,Folk Implosion,spotify:track:6Jx3dAS3fYgaIWpvql8eFZ
I Alone,Live,spotify:track:3LpnzPxkMI6XS4JCbhNeek
I Got Rhythm,Bobby Darin,spotify:track:4mL2uEMWLGAbHD0PzAikNy
Free from the City,The Poppy Family,spotify:track:20nbWARmYBZTDlSYYQEa9a
I've Been Thinking About You,Londonbeat,spotify:track:02KLiEs31kxh1krQJezlTL
How Soon Is Now?,Love Spit Love,spotify:track:0DIDgniNQL9y96g0zj5uqL
"Look What They've Done To My Song, Ma",Melanie,spotify:track:0K5arOMI7W9vggnSZi5hHs
The Breaks,Kurtis Blow,spotify:track:19tYXOfQFZ7gdGA3LAH76I
Here Comes My Baby,Dottie West,spotify:track:5MmEAUKy8QbNkU7erQapkE
Wipe Out,The Surfaris,spotify:track:6uudeEvl6t5WrFgobojt3D
3 Strange Days,School Of Fish,spotify:track:2Zd1hLu5AswuxE7xAYLvc9
Theme From Electric Surfboard,Jack McDuff,spotify:track:6eHVWEOlLetg8gscLtAUsI
Get Ready - Single Version,Rare Earth,spotify:track:0JHj9YBdBGSASzjTQoMleo
Mis-Shapes,Pulp,spotify:track:7IgHTB9VMPwziPobbBbgfq
I'd Be Better Off (In A Pine Box),Doug Stone,spotify:track:2hD8V19YG036CRwKXnpGK6
Summertime Surf,The Surfin Gorillas,spotify:track:0FZWeG9gSgAOGymv18Syvo
Rusty Cage,Soundgarden,spotify:track:6hqIXyo6GxydAnoI8XeIrV
Street Walker,The Bar-Kays,spotify:track:44m3xejSoPm4o1GWv5jk2E
StarÃÂÃÂ¡lfur,Sigur RÃÂÃÂ³s,spotify:track:55gISxV37mffOW2DbSskT3
When the Sun Hits,Slowdive,spotify:track:0oxYB9GoOIDrdzniNdKC44
Glycerine,Bush,spotify:track:19sHnxkLSuMjCfKSvdhS1c
Self Esteem,The Offspring,spotify:track:6qpN7PrkVsP3N3xO7WlCaw
Inside People,The Freeborne,spotify:track:4LM1rEDNzLF6Ibe1K9h0Cn
Hurtin' Kind of Woman,The Freeborne,spotify:track:4wKIfxjfHN5OEZdSu6CmcM
The Bird's The Word,The Rivingtons,spotify:track:4niy5jbEb70771kN6GitE6
Domino,KISS,spotify:track:0TvAevj7KbSdafH1bin3yj
My Sweet Dream,The Nutmegs,spotify:track:7ks8U4qxPxNaxLBELbbjEc
Hush,TOOL,spotify:track:1icudzJCEUyjOVYzw7emST
Teenage Loser Anthem,The Dambuilders,spotify:track:2xAU13DUso61IbfTRuTwG9
"John, I'm Only Dancing - Live",David Bowie,spotify:track:7xTMkIbYa0L4mP2aB6Mhus
Novocaine For The Soul,Eels,spotify:track:4uPi47C1WcnhIbvCx4zCu6
Little Darlin',The Diamonds,spotify:track:0f7JTPN46BnWiRGb5A1fft
Vous qui passez sans me voir,Charles Trenet,spotify:track:1pRi0SyYVKWFPTN6mLSAjE
Breather,Chapterhouse,spotify:track:4rbKtilX985FyoAnHrzCdH
The Dragons' Flight Across The Waves,Amon Amarth,spotify:track:5bj5Nqllm7WhFPQ18yQX65
Close to Heaven,Color Me Badd,spotify:track:0JgmNbOGbwQ1gIYXOthuM3
The Sewers of Mars,Royal Trux,spotify:track:0iff3J6lSYN7RpHi8iHdaq
Shake a Puddin,Dub Narcotic Sound System,spotify:track:6Fh6OoQHHWOO0cm24gjRzs
The Vibrator,Jack McDuff,spotify:track:1T9gxnQ1LNJZxNclwrNBcC
"To Be Young, Gifted and Black - Live",Nina Simone,spotify:track:1ZUSC1nbt0nN4IBy7FzYhD
Nothing To Be Done,The Pastels,spotify:track:282VgBXcFt4JPkkxT7c2cF
Under Pressure,Queen,spotify:track:3fFqJS7TleIhHfzuix8zY1
Morning Train (Nine to Five),Sheena Easton,spotify:track:6CEKntwndUlmWhSRflWA5X
Du riechst so gut,Rammstein,spotify:track:1hNE737dkYD9ZM1J8H9chv
What Do I Have To Do To Prove My Love To You,Marva Whitney,spotify:track:7FGcGH5aSh9jDtQ7znVICY
Get a Job,The Silhouettes,spotify:track:21NhrNOfIoakyWISXUMkFN
"6'1""",Liz Phair,spotify:track:3adIx1sLljP15PJ8DRkkDX
Hamp's Hump,Lou Donaldson,spotify:track:4Hq9Eml1phD8KMgbyHacLE
Expresso,The Monochrome Set,spotify:track:0x1Z6a29Fts0ybkqQ8GyIH
Can't Wait Another Minute,Five Star,spotify:track:0668Md7QtiVoYFQbOamolA
Hit And Run,The Bar-Kays,spotify:track:68oL33xGl9GsUhDSTCXCrD
What Kind of Monster Are You?,Slant 6,spotify:track:31rO0CUenJkH4XMrFounQs
You Should Be Mine (The Woo Woo Song),Jeffrey Osborne,spotify:track:0tSbnWmN3ggQU3SVFNr4Qp
CorazÃÂÃÂ³n Viajero,Miguel Gallardo,spotify:track:4ycmCCAAuLq8tV9HBEbtuH
How Do You Do It? - Mono,Gerry & The Pacemakers,spotify:track:601a0vnyLYe7pzLKVjKSha
Summer Romance (Anti-Gravity Love Song),Incubus,spotify:track:3uNHNBnlfBtrOZ9NZx5b4V
X-French Tee Shirt,Shudder To Think,spotify:track:5h6OsJ1AakY9X9kflQwaMS
El Scorcho,Weezer,spotify:track:3g2gQMeeQAEPztiQKMlGSl
