On Top Of Spaghetti,Tom Glazer And The Do-Re-Mi Children's Chorus
Dr. Jon (The Medicine Man),Jon & Robin And The In Crowd
(Theme from) A Summer Place,Dick Roman
Jimmy Mack,Martha & The Vandellas
Dawn,The David Rockingham Trio
Pick Me Up On Your Way Down,Pat Zill
A Working Man's Prayer,Arthur Prysock
I Can't Wait Until I See My Baby,Justine Washington
Please Love Me Forever,Cathy Jean and The Roommates
Good Old Rock 'N Roll,Cat Mother & the All Night News Boys
We Gotta All Get Together,Paul Revere & The Raiders Featuring Mark Lindsay
I Walk The Line,Jaye P. Morgan
Primrose Lane,Jerry Wallace With The Jewels
"Move In A Little Closer, Baby",Mama Cass
(Love Theme From) One Eyed Jacks,Ferrante & Teicher
Tar And Cement,Verdelle Smith
What Would I Do,Mickey & Sylvia
Blue's Theme,Davie Allan And The Arrows
Ramblin' Gamblin' Man,Bob Seger System
The River Is Wide,The Forum
Voodoo Woman,Simon Stokes/Nighthawks
I Got A Sure Thing,Ollie & The Nightingales
1432 Franklin Pike Circle Hero,Bobby Russell
The World Of Lonely People,Anita Bryant
Judy In Disguise (With Glasses),John Fred And The Playboys
Yellow Bird,Arthur Lyman Group
Okie From Muskogee,Merle Haggard And The Strangers
Here Come The Judge,The Magistrates
The Girl I'll Never Know (Angels Never Fly This Low),Frankie Valli
Hide 'Nor Hair,Ray Charles and his Orchestra
A Happy Guy,Rick Nelson
"Oooh, Baby Baby",The Five Stairsteps
More Than The Eye Can See,Al Martino
Buckaroo,Buck Owens and The Buckaroos
Last Night,Mar-Keys
The Last Dance,The McGuire Sisters
Moonlight Sonata,Henry Mancini And His Orchestra
More,Kai Winding & Orchestra
I Want To Love You Baby,Peggy Scott & Jo Jo Benson
Pipeline,Chantay's
Driftin' Blues,Bobby Bland
It's For You,Cilla Black
Cinderella Rockefella,Esther & Abi Ofarim
Stewball,"Peter, Paul & Mary"
I Told The Brook,Marty Robbins
La Bamba - Part I,Trini Lopez
Who's Afraid Of Virginia Woolf? (Part I),Jimmy Smith
On The Way Home,The Buffalo Springfield
The Astronaut (Parts 1 & 2),Jose Jimenez
Karate,The Emperor's
I'm Hypnotized,Anthony & The Imperials
Anything You Choose,Spanky And Our Gang
Don't Mess Up A Good Thing,Fontella Bass & Bobby McClure
I Gotta Know,Elvis Presley With The Jordanaires
Letter Full Of Tears,Gladys Knight And The Pips
Where Will The Words Come From,Gary Lewis And The Playboys
Only The Lonely (Know How I Feel),Roy Orbison
Sad Movies (Make Me Cry),The Lennon Sisters
Impossible Mission (Mission Impossible),Soul Survivors
Go With Me,Gene And Debbe
I Feel Good (I Feel Bad),The Lewis & Clarke Expedition
Peter Rabbit,Dee Jay And The Runaways
Kicks,Paul Revere & The Raiders Featuring Mark Lindsay
What's It Gonna Be,Dusty Springfield
You've Got The Power,The Esquires
I'll Take Care Of You,Bobby Bland
Don't Let Me Down,The Beatles With Billy Preston
I Want To Hold Your Hand,Boston Pops Orchestra Arthur Fiedler
Lazy Lady,Fats Domino
Jackson,Nancy Sinatra & Lee Hazlewood
Pink Dominos,The Crescents Featuring Chiyo
The Cheer Leader,Paul Petersen
Hot Pastrami With Mashed Potatoes - Part I,Joey Dee & the Starliters
Lonesome Whistle Blues,Freddy King
I Told You So,Jimmy Jones
Light My Fire,Jose Feliciano
My True Story,The Jive Five With Joe Rene And Orchestra
Out & About,Tommy Boyce & Bobby Hart
Stay Together Young Lovers,Brenda & The Tabulations
Things I'd Like To Say,New Colony Six
(You've Got) Personality And Chantilly Lace,Mitch Ryder
The Puzzle Song (A Puzzle In Song),Shirley Ellis
Bossa Nova Baby,Elvis Presley With The Jordanaires
Dr. Ben Basey,Mickey Shorr and The Cutups
Can't Let You Out Of My Sight,Chuck Jackson & Maxine Brown
Stockholm,Lawrence Welk And His Orchestra
Funky Way,Calvin Arnold
The Feeling Is Gone,Bobby Bland
That's The Way Love Is,Bobby Bland
It's A Groovy World!,The Unifics
Licking Stick - Licking Stick (Part 1),James Brown And The Famous Flames
Ronnie,Marcy Joe
I Don't Want Nobody (To Have My Love But You),Ella Johnson With Buddy Johnson
Breakin' Up Is Breakin' My Heart,Roy Orbison
I Need You,Rick Nelson
Jelly Jungle (Of Orange Marmalade),Lemon Pipers
Today's Teardrops,Rick Nelson
Beach Girl,Pat Boone
Jimmy Martinez,Marty Robbins
Make Love To Me,Johnny Thunder & Ruby Winters
I'm Gonna Love You,The Intrigues
"Back At The Chicken Shack, Part 1",Jimmy Smith
You Don't Know What It Means,Jackie Wilson
For Your Love,The Wanderers
On The Beach,Frank Chacksfield And His Orch.
No One To Cry To,Ray Charles
Forget Domani,Frank Sinatra
Mockingbird,Inez Foxx with Charlie Foxx
Silly Ol' Summertime,The New Christy Minstrels
Isn't It Lonely Together,Robert Knight
Let Yourself Go,James Brown And The Famous Flames
La Bomba,The Tokens
(Down At) Papa Joe's,The Dixiebelles
Hanky Panky,Tommy James And The Shondells
Nite Owl,Dukays
I Got A Woman,Rick Nelson
Michelle,David & Jonathan
It's Over,Eddy Arnold
Hungry,Paul Revere & The Raiders Featuring Mark Lindsay
Don't Cry No More,Bobby Bland
All That I Am,Elvis Presley With The Jordanaires
"Shoot'em Up, Baby",Andy Kim
I Got You (I Feel Good),James Brown And The Famous Flames
What Would You Do?,Jim Reeves
Stick Shift,Duals
The Girl From Ipanema,Stan Getz/Astrud Gilberto
I'm In Love Again,Rick Nelson
Crazy Arms,Bob Beckham
Lover's Holiday,Peggy Scott & Jo Jo Benson
Hey Little One,J. Frank Wilson and The Cavaliers
Lonely Soldier,Mike Williams
Suzie Q. (Part One),Creedence Clearwater Revival
Rock-A-Hula Baby,Elvis Presley With The Jordanaires
United (Part 1),The Music Makers
Dream Boy,Annette With The Afterbeats
My Blue Heaven,Duane Eddy And The Rebels
Making Every Minute Count,Spanky And Our Gang
One More Time,The Ray Charles Singers
Vance,Roger Miller
You Better Go,Derek Martin
Country Girl - City Man,Billy Vera & Judy Clay
It's Cold Outside,The Choir
Outside The Gates Of Heaven,Lou Christie
Lover's Island,The Blue Jays
Here Come Da Judge,The Buena Vistas
Unchain My Heart,Ray Charles and his Orchestra
"Never, Never",The Jive Five With Joe Rene And Orchestra
If I Had A Hammer (The Hammer Song),"Peter, Paul & Mary"
Berlin Melody,Billy Vaughn And His Orchestra
Wheels,Billy Vaughn And His Orchestra
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
They're Here,Boots Walker
Desafinado,Stan Getz/Charlie Byrd
Baby Please Come Back Home,J.J. Barnes
Ain't It Funky Now (Part 1),James Brown
Let's Hang On!,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
Broken Heart And A Pillow Filled With Tears,Patti Page
Lodi,Al Wilson
Super-cali-fragil-istic-expi-ali-docious,Julie Andrews-Dick Van Dyke
You're The Reason,Bobby Edwards
Why Did You Leave Me?,Vince Edwards
Baby (You've Got What It Takes),Dinah Washington & Brook Benton
Peanuts (La Cacahuata),The Sunglows
I Need Your Loving,Don Gardner And Dee Dee Ford
"Hello, Dolly!",Louis Armstrong And The All Stars
Sunday Mornin',Spanky And Our Gang
We Got More Soul,Dyke And The Blazers
Making Memories,Frankie Laine
I Need Some One,The Belmonts
Patricia - Twist,Perez Prado And His Orchestra
Stop! And Think It Over,Perry Como
Chicken Feed,Bent Fabric and His Piano
Only You (And You Alone),Bobby Hatfield
Winchester Cathedral,The New Vaudeville Band
My Sweet Potato,Booker T. & The MG's
Save Your Heart For Me,Gary Lewis And The Playboys
A Star Is Born (A Love Has Died),Mark Dinning
Billy And Sue,B.J. Thomas And The Triumphs
Pop-Eye,Huey Smith
Whipped Cream,Herb Alpert's Tijuana Brass
Ruby,Ray Charles
You've Got To Pay The Price,Al Kent
The John Birch Society,The Chad Mitchell Trio
Wish Me A Rainbow,The Gunter Kallmann Chorus
Battle Hymn Of The Republic,Andy Williams with the St. Charles Borromeo Choir
Moon Over Naples,Bert Kaempfert And His Orchestra
Welcome Me Love,The Brooklyn Bridge Featuring Johnny Maestro
I Wonder (If Your Love Will Ever Belong To Me),The Pentagons
About This Thing Called Love,Fabian
I Could Be So Good To You,Don And The Goodtimes
"Something Old, Something New",Paul and Paula
Banjo Boy,Jan And Kjeld
Bewildered,James Brown And The Famous Flames
"New York Mining Disaster 1941 (Have You Seen My Wife, Mr. Jones)",Bee Gees
Stop! - Get A Ticket,Clefs Of Lavender Hill
A Swingin' Safari,Billy Vaughn And His Orchestra
Hey Joe,The Leaves
You've Got To Be Loved,The Montanas
Santa Claus Is Coming To Town,The 4 Seasons
Heartbreak Hill,Fats Domino
The Beginning Of My End,The Unifics
Pepino's Friend Pasqual (The Italian Pussy-Cat),Lou Monte
Rhythm Of The Rain,Gary Lewis And The Playboys
New York's A Lonely Town,The Trade Winds
Goin' Out Of My Head/Forget To Remember,Frank Sinatra
Cry,Ray Charles
Rusty Bells,Brenda Lee
Yessiree,Linda Scott
Where Or When,The Lettermen
Baciare Baciare (Kissing Kissing),Dorothy Collins
Get Down,Harvey Scales
Marina,Rocco Granata and the International Quintet
Don't Sign The Paper Baby (I Want You Back),Jimmy Delphs
Forever,Pete Drake And His Talking Steel Guitar
God Bless Our Love,The Ballads
Funky Donkey,Pretty Purdie
"Theme From ""The Unforgiven"" (The Need For Love)",Don Costa And His Orchestra And Chorus
It's Gotta Last Forever,Billy J. Kramer With The Dakotas
A Little Rain Must Fall,The Epic Splendor
Soulshake,Peggy Scott & Jo Jo Benson
I Am A Witness,Tommy Hunt
Ebb Tide,The Platters Featuring Tony Williams
Dancing In The Street,Martha & The Vandellas
Wishin' On A Rainbow,Phill Wilson
I Love You,People
Ain't Nothing Like The Real Thing,Marvin Gaye & Tammi Terrell
Side Car Cycle,Charlie Ryan and the Timberline Riders
Green Grass,Gary Lewis And The Playboys
Big Girls Don't Cry,The 4 Seasons
A Scottish Soldier (Green Hills of Tyrol),Andy Stewart
I Want To Meet Him,The Royalettes
Lipstick Traces (On A Cigarette),The O'Jays
High School U.S.A.,Tommy Facenda
Lose Her,Bobby Rydell
The Star-Spangled Banner,Jose Feliciano
Why'd You Wanna Make Me Cry,Connie Stevens
Twistin' With Linda,The Isley Brothers
Let It Be Me,Glen Campbell & Bobbie Gentry
The Tracks Of My Tears,The Miracles
Jellybread,Booker T. & The MG's
Why Do Lovers Break Each Other's Heart?,Bob B. Soxx And The Blue Jeans
That's How It Goes,George Maharis
Anytime At All,Frank Sinatra
Ice In The Sun,The Status Quo
Lullaby Of Love,Frank Gari
Sealed With A Kiss,Gary Lewis And The Playboys
I Can't Work No Longer,Billy Butler & The Chanters
Don't It Make You Want To Go Home,Joe South and The Believers
Frankie And Johnny,The Greenwood County Singers
San-Ho-Zay,Freddy King
The Minotaur,Dick Hyman & His Electric Eclectics
Ain't Nothin' But A House Party,The Show Stoppers
I Think We're Alone Now,Tommy James And The Shondells
To Wait For Love,Herb Alpert
Quentin's Theme,The Charles Randolph Grean Sounde
Love You So,Ron Holden with The Thunderbirds
Moonlight And Roses (Bring Mem'ries Of You),Vic Dana
I Want You To Know,The New Colony Six
Count Down,"Dave ""Baby"" Cortez"
Hot Pastrami,The Dartells
The Loser,The Skyliners
The Wheel Of Hurt,Al Martino
My Ship Is Comin' In,The Walker Bros.
Groovin',Booker T. & The MG's
Ain't Nothing You Can Do,Bobby Bland
There's Nothing I Can Say,Rick Nelson
People World,Jim & Jean
Sky Pilot (Part One),Eric Burdon & The Animals
Don't Pat Me On The Back And Call Me Brother,John W. Anderson presents KaSandra
"Don't Be Afraid, Little Darlin'",Steve Lawrence
Harlem Shuffle,Bob And Earl
I'm Ready For Love,Martha & The Vandellas
Who's Making Love,Young-Holt Unlimited
It Hurts Me,Elvis Presley With The Jordanaires
Canadian Sunset,Sounds Orchestral
My Love,Nat King Cole-Stan Kenton
Motorcycle,Tico And The Triumphs
Night Train,James Brown And The Famous Flames
Long Tall Shorty,Tommy Tucker
Big Man In Town,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
In My Lonely Room,Martha & The Vandellas
Farewell Love Scene,Romeo & Juliet Soundtrack
Lonesome Road,The Wonder Who?
The Cheater,Bob Kuban And The In-Men
Blame It On The Bossa Nova,Eydie Gorme
Ain't Doing Too Bad (Part 1),Bobby Bland
Everybody Knows Matilda,Duke Baxter
Echo,The Emotions
I'm Satisfied,The San Remo Golden Strings
Hully Gully Again,Little Caesar and The Romans
Music To Watch Girls By,Bob Crewe Generation
Heart! (I Hear You Beating),Wayne Newton And The Newton Brothers
Down The Aisle,Ike Clanton
(There'll Come A Day When) Ev'ry Little Bit Hurts,Bobby Vee
The Grooviest Girl In The World,The Fun And Games
Felicidad,Sally Field
My Little Marine,Jamie Horton
Something You Got,Alvin Robinson
Can't Take My Eyes Off You,Nancy Wilson
Mom And Dad's Waltz,Patti Page
I Like The Way,Tommy James And The Shondells
Why,The Beatles With Tony Sheridan
Love Bug,Jack Jones
I Believe I'll Love On,Jackie Wilson
There Was A Time,James Brown And The Famous Flames
Young Wings Can Fly (Higher Than You Know),Ruby And The Romantics
It's Wonderful,The Young Rascals
Mary's Little Lamb,James Darren
I Want To Stay Here,Steve & Eydie
"My True Carrie, Love",Nat King Cole
Take Me Back,Little Anthony And The Imperials
Long Legged Girl (With The Short Dress On),Elvis Presley With The Jordanaires
"Out Of Sight, Out Of Mind",Little Anthony And The Imperials
I Can't Believe What You Say (For Seeing What You Do),Ike & Tina Turner
Use Your Head,Mary Wells
The Alvin Twist,The Chipmunks With David Seville
Court Of Love,The Unifics
Mr. Bus Driver,Bruce Channel
It's Alright,Adam Faith With The Roulettes
Tiny Bubbles,Don Ho and the Aliis
Witchcraft,Elvis Presley With The Jordanaires
Alvin's Boo-Ga-Loo,Alvin Cash & The Registers
Jura (I Swear I Love You),Les Paul And Mary Ford
I'm On The Outside (Looking In),Little Anthony And The Imperials
When You're Gone,Brenda & The Tabulations
Look Homeward Angel,The Monarchs
Ten Lonely Guys,Pat Boone
Good Time Charlie,Bobby Bland
Hey Lover,Debbie Dovale
Burning Spear,The Soulful Strings
Bony Moronie,The Appalachians
Yesterday's Rain,Spanky And Our Gang
Witchi Tai To,Everything Is Everything
Lovey Dovey,Otis & Carla
Playgirl,Thee Prophets
The Gypsy Rover,The Highwaymen
Crosstown Traffic,The Jimi Hendrix Experience
I Wanna Be Loved,Dean And Jean
Abergavenny,Shannon
Gonna Send You Back To Georgia (A City Slick),Timmy Shaw
Pushin' Your Luck,Sleepy King
Be My Boy,Paris Sisters
Image Of A Girl,Safaris with The Phantom's Band
The Things In This House,Bobby Darin
Apache '65,The Arrows Featuring Davie Allan
The Little Drummer Boy,The Jack Halloran Singers
Moulty,The Barbarians
Ame Caline (Soul Coaxing),Raymond Lefevre and His Orchestra
This Is My Story,Mickey & Sylvia
Let Me Be The One,Peaches & Herb
Ruby Duby Du,Tobin Mathews & Co.
Wrong For Each Other,Andy Williams
Cry Softly,Nancy Ames
Summer Set,Monty Kelly And His Orchestra
Your Ma Said You Cried In Your Sleep Last Night,Kenny Dino
Chain Gang,Jackie Wilson & Count Basie
History Repeats Itself,Cab Calloway
Give Me One More Chance,Wilmer And The Dukes
Double-O-Seven,The Detergents
That's The Way With Love,Piero Soffici
Lonely Man,Elvis Presley With The Jordanaires
Two Kind Of Teardrops,Del Shannon
Pearly Shells (Popo O Ewa),Burl Ives
Love In Every Room,Paul Mauriat And His Orchestra
Shout And Shimmy,James Brown And The Famous Flames
Tell It To The Rain,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
Glory Of Love,The Roommates
Sad Eyes (Don't You Cry),The Echoes
Groovin' (Out On Life),The Newbeats
He Thinks I Still Care,Connie Francis
I Was Kaiser Bill's Batman,Whistling Jack Smith
Ain't Gonna Cry No More,Brenda Lee
"Signed, Sealed, And Delivered",James Brown And The Famous Flames
You're The One,The Marvelettes
Time Machine,Dante and the Evergreens
Count Every Star,Donnie and The Dreamers
"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Mysel",James Brown
Our Anniversary,Shep And The Limelites
Electric Stories,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
Museum,Herman's Hermits
I Can't Say Goodbye,The Fireflies Featuring Ritchie Adams
I'm Gonna Make You Love Me,Diana Ross And The Supremes & The Temptations
The Marvelous Toy,The Chad Mitchell Trio
Peace Of Mind,Paul Revere & The Raiders Featuring Mark Lindsay
"Yeh, Yeh",Georgie Fame And The Blue Flames
Monsters' Holiday,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
Theme from Tunes Of Glory,The Cambridge Strings And Singers
But You Know I Love You,The First Edition
Young And In Love,Dick and DeeDee
"Wish You Were Here, Buddy",Pat Boone
A Time To Love-A Time To Cry (Petite Fleur),Lou Johnson
I Want You To Meet My Baby,Eydie Gorme
Lover's Prayer,Wallace Brothers
Clementine,Jan & Dean
I Have A Dream,"Rev. Martin Luther King, Jr."
That Happy Feeling,Bert Kaempfert And His Orchestra
I Want You Back,Jackson 5
You Can't Take It Away,Fred Hughes
Spooky,Mike Sharpe
Sunday Mornin',Oliver
"Oh Lord, Why Lord",Los Pop Tops
I Wish I'd Never Been Born,Patti Page
You're All I Need To Get By,Marvin Gaye & Tammi Terrell
Dear Heart,Henry Mancini And His Orchestra
I'm Gonna Make You Love Me,Madeline Bell
I Don't Love You No More (I Don't Care About You),Jimmy Norman
Don't Forget About Me,Dusty Springfield
Rocking Goose,Johnny And The Hurricanes
Happiness,Shades Of Blue
Michael - Pt. 1,Steve Alaimo
Andrea,The Sunrays
"Abraham, Martin And John",Moms Mabley
Stay,The 4 Seasons
Too Many Fish In The Sea & Three Little Fishes,Mitch Ryder And The Detroit Wheels
Talk To Me Baby,Annette With The Afterbeats
Swingin' Tight,Bill Deal & The Rhondels
Right Relations,Johnny Rivers
"Shimmy, Shimmy, Ko-Ko-Bop",Little Anthony And The Imperials
I've Cried My Last Tear,The O'Jays
I Was Made To Love Her,King Curtis & The Kingpins
Pied Piper,The Changin' Times
Bonanza,Al Caiola And His Orchestra
Lapland,The Baltimore And Ohio Marching Band
First Day Back At School,Paul and Paula
Now And Forever,Bert Kaempfert And His Orchestra
Al's Place,Al (He's the King) Hirt
Private Number,Judy Clay & William Bell
Banjo Boy,Dorothy Collins
Clean Up Your Own Back Yard,Elvis Presley
The Mountain's High,Dick and DeeDee
Think,James Brown And The Famous Flames
What Now My Love,Mitch Ryder
Dusty,The Rag Dolls
All Or Nothing,Patti LaBelle And The Blue Belles
The Hoochi Coochi Coo,Hank Ballard And The Midnighters
Different Drum,Stone Poneys Featuring Linda Ronstadt
Hi Heel Sneakers - Pt. 1,Ramsey Lewis Trio
What'd I Say (Part 1),Bobby Darin
Lo Mucho Que Te Quiero (The More I Love You),Rene & Rene
Home Of The Brave,Bonnie & The Treasures
Banjo Boy,Art Mooney And His Orchestra
I Got The Feelin',James Brown And The Famous Flames
Beatnik Fly,Johnny And The Hurricanes
Try To Remember,Roger Williams
It's Only Love,B.J. Thomas
Some Day We're Gonna Love Again,The Searchers
Give Peace A Chance,Plastic Ono Band
Crimson And Clover,Tommy James And The Shondells
King Of The Whole Wide World,Elvis Presley With The Jordanaires
Step Out Of Your Mind,The American Breed
The Magnificent Seven,Al Caiola And His Orchestra
Don't Read The Letter,Patti Page
Exclusively Yours,"Carl Dobkins, Jr."
Melody For An Unknown Girl,The Unknowns
Theme From Ben Casey,Valjean on Piano
Swinging On A Star,Big Dee Irwin (with Little Eva)
Love Takes A Long Time Growing,Deon Jackson
You Don't Know Me,Elvis Presley With The Jordanaires
It's Over,Roy Orbison
Never My Love,The Sandpebbles
I Need Somebody,? (Question Mark) & The Mysterians
Mexican Drummer Man,Herb Alpert's Tijuana Brass
Lonely Blue Nights,Rosie
Climb Every Mountain,The Hesitations
The Switch-A-Roo,Hank Ballard And The Midnighters
G.T.O.,Ronny And The Daytonas
I'm Sorry,The Delfonics
"Oh That's Good, No That's Bad",Sam The Sham and the Pharaohs
The Ol' Race Track,The Mills Brothers
If I Can't Have You,Etta & Harvey
Heartbreak (It's Hurtin' Me),Jon Thomas and Orchestra
The Loser (With A Broken Heart),Gary Lewis And The Playboys
What'd I Say,Jerry Lee Lewis And His Pumping Piano
A Walkin' Miracle,The Essex Featuring Anita Humes
Happy Birthday Blues,Kathy Young With The Innocents
The Fife Piper,The Dynatones
"Chim, Chim, Cheree",The New Christy Minstrels
"Sunrise, Sunset",Roger Williams
Journey Of Love,The Crests featuring Johnny Mastro
Summer's Comin',Kirby St. Romain
Living In The U.s.a.,The Steve Miller Band
Medicine Man (Part I),Buchanan Brothers
Save It For Me,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
Gloria,Shadows Of Knight
There's Something On Your Mind,Baby Ray
Yesterday's Gone,The Overlanders
The Very Thought Of You,Rick Nelson
Hallways Of My Mind,The Dells
Midnight,Dennis Yost And The Classics IV
Roundabout,Connie Francis
Proud Mary,"The Checkmates, Ltd. Featuring Sonny Charles"
The Lonely Bull (El Solo Torro),Herb Alpert & The Tijuana Brass
Try My Love Again,Bobby Moore's Rhythm Aces featuring Chico
Who Will The Next Fool Be,Bobby Bland
I've Been Loved Before,Shirley and Lee
Some Velvet Morning,Nancy Sinatra & Lee Hazlewood
I'm A Fool To Care,Oscar Black
I'm Just A Country Boy,George McCurn
I Need You Now,100 Strings and Jono (Choir of 40 Voices)
Years From Now,Jackie Wilson
Whenever A Teenager Cries,Reparata And The Delrons
Boo-Ga-Loo,Tom and Jerrio
Uh! Oh! Part 1,The Nutty Squirrels
A Little Toy Balloon,Danny Williams
Tunes Of Glory,Mitch Miller With Orchestra And Chorus
I'm Crazy 'Bout My Baby,Marvin Gaye
"Up Tight, Good Man",Laura Lee
(You Better) Know What You're Doin',Lloyd Price and His Orchestra
Nobody Cares (about me),Jeanette (Baby) Washington
Little Children,Billy J. Kramer With The Dakotas
Got My Mojo Working (Part I),Jimmy Smith
I'm Your Hoochie Cooche Man (Part 1),Jimmy Smith
(Native Girl) Elephant Walk,Donald Jenkins & The Delighters
Too Many Rules,Connie Francis
You're Gonna Miss Me,The Thirteenth Floor Elevators
I'll Always Love You,Brenda Holloway
Laugh At Me,Sonny
Marley Purt Drive,Jose Feliciano
The Sound Of Music,Patti Page
I Chose To Sing The Blues,Ray Charles & The Raelets
Shazam!,Duane Eddy His Twangy Guitar And The Rebels
They Remind Me Too Much Of You,Elvis Presley With The Mello Men
Lucky Devil,"Carl Dobkins, Jr."
That Acapulco Gold,The Rainy Daze
For Mama (La Mamma),Connie Francis
Big Cold Wind,Pat Boone
Beach Party,King Curtis And The Noble Knights
Who Stole The Keeshka?,The Matys Bros.
I Wish I Were A Princess,Little Peggy March
Soul Finger,Bar-Kays
Getting Ready For The Heartbreak,Chuck Jackson
Smile,Betty Everett & Jerry Butler
I Dig Rock And Roll Music,"Peter, Paul & Mary"
Give Us Your Blessing,Ray Peterson
Potato Peeler,Bobby Gregg and His Friends
Loving You More Every Day,Etta James
It's All Over Now,Casinos
Love's Made A Fool Of You,Bobby Fuller Four
Doctor Feel-Good,Dr. Feelgood And The Interns
Stand In For Love,The O'Jays
Lost Someone,James Brown And The Famous Flames
I'm In The Mood For Love,The Chimes
(When She Needs Good Lovin') She Comes To Me,The Chicago Loop
Right String But The Wrong Yo-Yo,Dr. Feelgood And The Interns
Coo Coo,Big Brother And The Holding Company
Nobody Knows What's Goin' On (In My Mind But Me),The Chiffons
Tonight (Could Be The Night),The Velvets featuring Virgil Johnson
Train Of Love,Annette With The Afterbeats
Moon River,Henry Mancini And His Orchestra
String Along,Rick Nelson
California Earthquake,Mama Cass
Chills And Fever,Ronnie Love And His Orchestra
"Ready, Willing and Able",The American Breed
Shout,Lulu And The Luvers
My Baby Loves Me,Martha & The Vandellas
Where Do I Go/Be-In/Hare Krishna,The Happenings
Idaho,The 4 Seasons
Where Is My Mind,The Vanilla Fudge
Black Sheep,Sam The Sham and the Pharaohs
Little Boy (In Grown Up Clothes),The 4 Seasons
"Laura, What's He Got That I Ain't Got",Frankie Laine
The Impossible Dream (The Quest),Jack Jones
Be Anything (But Be Mine),Gloria Lynne
Hide Away,Freddy King
Wont'cha Come Home,Lloyd Price and His Orchestra
Can't You See Me Cry,The New Colony Six
Whispers (Gettin' Louder),Jackie Wilson
(A Ship Will Come) Ein Schiff Wird Kommen,Lale Anderson
The Pledge Of Allegiance,Red Skelton
Blue Guitar,Richard Chamberlain
Hey! Baby,Jose Feliciano
The Old Payola Roll Blues (Side I),Stan Freberg
Mexican Pearls,Billy Vaughn And His Orchestra
Baby Baby Baby,Anna King-Bobby Byrd
Elvira,Dallas Frazier
Ringo's Theme (This Boy),George Martin And His Orch.
I Can't Stand It,Soul Sisters
Poor Man's Son,The Reflections
"Hello Heartache, Goodbye Love",Little Peggy March
Look For A Star,Billy Vaughn And His Orchestra
Wild Thing,Senator Bobby Featuring Bill Minkin
Naturally Stoned,The Avant-Garde
Green Fields,The Vogues
There Goes The Lover,Gene Chandler
Are You Lonely For Me,Freddy Scott
(I Washed My Hands In) Muddy Water,Johnny Rivers
Ferry Cross The Mersey,Gerry And The Pacemakers
Oh Baby Don't You Weep (Part 1),James Brown And The Famous Flames
Jivin' Around,Al Casey Combo
Knock On Wood,Otis & Carla
One Hurt Deserves Another,The Raelets/Ray Charles Orchestra
Limelight,Mr. Acker Bilk
Tears Of Joy,Chuck Jackson
Make Your Own Kind Of Music,Mama Cass Elliot
Turn Around,Dick and DeeDee
I Call It Love,The Manhattans
Stuck On You,Elvis Presley With The Jordanaires
Lovin' You,Bobby Darin
Say I Am (What I Am),Tommy James And The Shondells
I Miss You So,Little Anthony And The Imperials
Up Above My Head (I Hear Music In The Air),Al (He's the King) Hirt
Comin' In The Back Door,The Baja Marimba Band
Gettin' Together,Tommy James And The Shondells
In My Room (El Amor),Verdelle Smith
She's Got Love,Thomas & Richard Frost
Reveille Rock,Johnny And The Hurricanes
Chitty Chitty Bang Bang,Paul Mauriat
Poverty,Bobby Bland
My Last Date (With You),Joni James
Day After Day (It's Slippin' Away),Shango
No Love Have I,Webb Pierce
If Love Is In Your Heart,Friend And Lover
You're Following Me,Perry Como
I Live For The Sun,The Sunrays
Toy Soldier,"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
Shy Away,Jerry Fuller
What's So Good About Good-by,The Miracles
Opus 17 (Don't You Worry 'Bout Me),"The 4 Seasons Featuring the ""Sound of Frankie Valli"""
New Mexican Rose,The 4 Seasons
Hey Paula,Paul and Paula
Tell Me,Dick and DeeDee
The Madison,Al Brown's Tunetoppers Featuring Cookie Brown
Fly By Night,Andy Williams
Autumn Leaves - 1965,Roger Williams
Drivin' Home,Duane Eddy And The Rebels
Diddle-Dee-Dum (What Happens When Your Love Has Gone),The Belmonts
Such A Sweet Thing,Mary Wells
