Track	Artist	URI	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	chorusHit	sections
Still A Thrill - 1989 Remix Album Version	Jody Watley	spotify:track:0cbNQYfiNfzfRLg5NqPwRD	0.923	0.628	10	-11.488	1	0.102	0.141	0.000941	0.175	0.778	112.756	329467	4	89.28768	14	0
Hey Joe	Johnny Hallyday	spotify:track:3fBnoo4Mn0OQ2FsywbW4n4	0.504	0.568	9	-12.407	1	0.0336	0.421	2.81e-05	0.345	0.514	101.007	185733	4	36.96418	8	0
Knocking On Your Door - 12" Remix	Erasure	spotify:track:74GfEeS0bg9cmdsIGj2hC6	0.699	0.713	1	-12.096	1	0.0428	0.0971	0.0622	0.376	0.966	135.395	363640	4	28.71651	15	0
No More Lonely Nights (Ballad) - Remastered 1993	Paul McCartney	spotify:track:3CCBwpqjdar1PG6HHulmD0	0.32	0.428	5	-14.262	1	0.0536	0.00349	0.000276	0.519	0.411	172.603	312733	4	21.53967	17	0
Keep the Fire Burning - Remastered Version	Gwen McCrae	spotify:track:4rS4K30qVDExdjeU4feF4c	0.892	0.433	0	-13.806	0	0.0699	0.0277	0.000892	0.0308	0.924	128.029	344547	4	33.13568	17	0
All Time High	Rita Coolidge	spotify:track:0e6jrQ880TI8IjAexAmtb6	0.49	0.515	3	-8.919	0	0.0313	0.113	3.75e-05	0.125	0.343	105.63	185893	4	40.92416	8	1
In the Night	Zenobia	spotify:track:4mmno0L22X4QJHxCpKBsgY	0.68	0.78	7	-7.081	0	0.0514	0.0304	0.00337	0.0569	0.824	134.719	343587	4	43.75859	14	0
Hearts On Fire	Bryan Adams	spotify:track:20HhDn0i0STNmkjgFqmvO5	0.562	0.743	11	-12.132	1	0.0412	0.0277	0	0.156	0.703	115.405	210627	4	50.84333	7	1
The Taxi - Taken From The Salad Days Album	Young Marble Giants	spotify:track:5DDHuhrkxWZRA1y6KNDs69	0.749	0.227	4	-12.962	0	0.202	0.865	0.893	0.0876	0.516	112.424	123667	4	76.81145	4	0
Boys Cry	Original Mirrors	spotify:track:4cKwLkQdDYRIVZzgxbcUj8	0.442	0.801	9	-7.689	1	0.0764	0.000409	2.26e-06	0.0831	0.849	155.167	154253	4	33.49392	8	0
Obsession	Xymox	spotify:track:7qQPzySIqGxHop6WFNXixW	0.6	0.739	10	-11.612	0	0.029	0.00225	0.0366	0.402	0.553	124.886	349667	4	17.00886	18	0
Athena	The Who	spotify:track:255k7GWdOau9yOsewX85lg	0.609	0.754	2	-10.82	1	0.034	0.431	0.000902	0.112	0.57	123.208	227600	4	52.0381	11	1
Peeping Tom - From "The Last Dragon" Soundtrack	Rockwell	spotify:track:0wp1SNFIM1ZMundITk1j7D	0.763	0.571	5	-9.339	1	0.031	0.013	0.0173	0.233	0.207	112.897	273000	4	34.04749	15	0
Cuckooland	Sad Lovers & Giants	spotify:track:39LKcxyxAtKRo9c2dZhHQU	0.627	0.544	2	-14.639	1	0.0342	0.175	0.0447	0.116	0.472	140.035	249040	4	26.86006	11	0
Sometimes Love - Ozone Club Mix	In Sync	spotify:track:36bqGaXbPopt8mDAETsx1N	0.789	0.456	7	-20.676	1	0.0768	0.00149	0.355	0.432	0.813	118.66	491827	4	34.40863	15	0
Why - 12" Version	Carly Simon	spotify:track:3hI05NM8JnJvQLZMUnRvMa	0.676	0.861	4	-8.991	0	0.0537	0.00576	0.00916	0.02	0.706	92.361	493990	4	83.41595	16	0
Garden Party	Herb Alpert	spotify:track:2YOKbPcXmp9qlOon8Jk2UP	0.763	0.391	7	-12.171	1	0.0331	0.425	0.251	0.0581	0.888	89.588	316536	4	30.1442	11	1
The Wild Life	Bananarama	spotify:track:4xsA9lDQnKIk78YaBOSp9X	0.585	0.877	6	-6.441	1	0.0405	0.165	0	0.158	0.814	159.769	197929	4	37.39248	12	1
Sledgehammer - 2012 Remaster	Peter Gabriel	spotify:track:4AUS8KNz7zX8XFu9L38GT0	0.641	0.682	8	-7.561	1	0.0392	0.044	0	0.0394	0.468	96.319	311986	4	41.08181	12	0
Love In The Shadows	E.G. Daily	spotify:track:67rGdo1Lll7eMUtPR23lnQ	0.641	0.601	5	-14.048	1	0.032	0.502	8.56e-05	0.0368	0.537	130.789	235800	4	31.8801	14	0
What's Love Got to Do with It - 2015 Remaster	Tina Turner	spotify:track:3ErsOxqe2RmXkR65wkygDz	0.855	0.48	1	-8.902	1	0.0588	0.254	2.16e-05	0.151	0.798	97.793	230240	4	37.79471	13	0
Ode To Booker T - Taken From The Is The War Over Compilation	Young Marble Giants	spotify:track:2yEF3isztlB6lO0S4zXWrz	0.723	0.348	7	-12.311	1	0.0461	0.826	0.934	0.0746	0.259	126.802	183320	4	17.94643	8	0
Down In It	Nine Inch Nails	spotify:track:2P5ysrk3SjKtxTBZZMEziR	0.631	0.713	4	-11.832	0	0.12	0.00031	0.632	0.153	0.469	104.024	226400	4	50.58095	10	0
You May Be Right	Billy Joel	spotify:track:7gMOe0gXYcELUoVugfMmHP	0.567	0.945	9	-7.243	1	0.0458	0.175	2.6e-06	0.35	0.961	150.792	253200	4	32.9448	13	1
Women	Def Leppard	spotify:track:2q1njJdxOMEClSnuBWGMJa	0.52	0.916	2	-5.772	1	0.0392	0.00215	0.0236	0.318	0.388	86.414	342510	4	36.6786	14	1
Let Me Go - 12'' Extended Version / Remastered 2006	Heaven 17	spotify:track:4AUSopq1GZDQcW26xTR7qw	0.675	0.731	10	-8.433	0	0.0401	0.00491	0.194	0.0885	0.421	106.562	381787	4	21.37335	15	0
Break My Stride	Matthew Wilder	spotify:track:1mCsF9Tw4AkIZOjvZbZZdT	0.917	0.588	10	-11.047	1	0.0607	0.195	0	0.0914	0.828	110.077	184480	4	37.85456	9	1
Betcha Say That	Gloria Estefan & Miami Sound Machine	spotify:track:6k6bwPqngQMFBpoimRV7ID	0.812	0.696	3	-11.087	1	0.046	0.418	0.0103	0.471	0.863	124.995	276667	4	40.33516	11	1
Bit By Bit (Theme From Fletch)	Stephanie Mills	spotify:track:53435bte8yCZDBipvsq7cm	0.685	0.711	8	-9.779	1	0.0356	0.0277	0.124	0.229	0.765	134.647	210307	4	59.30776	10	1
Shake The Disease - Remixed Extended	Depeche Mode	spotify:track:2WjIonRdr8y2KssFbsUiHm	0.705	0.587	0	-13.592	0	0.0269	0.26	0.137	0.165	0.638	117.796	526333	4	49.22109	19	0
Fight For Your Right	Beastie Boys	spotify:track:5NLuC70kZQv8q34QyQa1DP	0.503	0.858	8	-6.296	1	0.0657	0.00757	0.00234	0.0803	0.419	133.615	208653	5	49.87052	7	0
Por Ese Hombre (with Dyango)	Pimpinela	spotify:track:6Xj4KkWScUvO3LiowRl7GK	0.551	0.442	0	-8.9	0	0.0295	0.543	0	0.063	0.422	96.333	289747	4	43.21264	10	0
You'll Never Know	Hi-Gloss	spotify:track:15TCBcHCuyYMCpEN5r6jF4	0.715	0.688	6	-10.934	0	0.0687	0.0996	3.78e-05	0.157	0.702	98.413	325147	4	64.70441	8	0
Right By Your Side	Eurythmics	spotify:track:486W7TsJOJl2C6NktjOd9O	0.567	0.749	6	-8.321	1	0.0409	0.0388	5.35e-05	0.193	0.896	168.599	244947	4	48.60257	11	1
Say It, Say It	E.G. Daily	spotify:track:6979YmbY2rScYdH6ovoQxF	0.742	0.724	0	-12.435	1	0.0353	0.105	0	0.831	0.825	115.298	276040	4	67.19842	11	1
Fascination Street	The Cure	spotify:track:23j7dlNIalftynH6fNllR9	0.508	0.91	0	-5.743	0	0.0786	0.00134	0.465	0.15	0.491	100.058	316173	4	67.33274	7	1
Thinking Of You	Harlequin	spotify:track:6owkCwzq8idIe5ocu8FSAO	0.492	0.659	2	-11.989	1	0.0524	0.18	0.00446	0.267	0.514	156.983	261733	4	35.20736	10	0
Ain't Nothin' Goin' On But The Rent	Gwen Guthrie	spotify:track:0o7kRX15d2F6vMhr7IoVgN	0.767	0.873	10	-9.562	0	0.0957	0.195	1.57e-05	0.143	0.946	107.533	214267	4	22.85724	10	1
(Between A) Rock And A Hard Place	Cutting Crew	spotify:track:2KxYID9maMVJaGnvGu6Iso	0.615	0.845	5	-9.943	0	0.0393	0.0928	2.77e-05	0.0755	0.585	117.444	227960	4	27.45929	13	1
First True Love Affair - Larry Levan Remix	Jimmy Ross	spotify:track:7joFZr4bgXEGyKOqswLpGd	0.819	0.615	9	-9.957	0	0.0717	0.0317	0.25	0.0777	0.877	118.198	427433	4	22.19261	17	0
Never Been As Good	The Weather Prophets	spotify:track:6tVMEYbCX3sdUuQLf7XinC	0.317	0.499	9	-11.487	1	0.0278	0.0886	0.00022	0.0969	0.371	170.534	284267	4	37.45911	9	0
Theoretical China	Winston Tong	spotify:track:1fEMhZdLug5WWkdsBcvcQW	0.743	0.673	0	-11.547	1	0.0378	0.0717	0.00239	0.198	0.877	124.77	345427	4	31.95705	11	0
