Smooth (feat. Rob Thomas),Santana,spotify:track:3i3GeK0qLQybu4ah42YmCY
Oops!...I Did It Again,Britney Spears,spotify:track:6naxalmIoLFWR0siv8dnQQ
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",Christina Aguilera,spotify:track:7GQqj9jRtDkMp8zByehXQI
#1 Crush,Garbage,spotify:track:6hvwc95jXLw5z2kT73y6I5
Only Happy When It Rains,Garbage,spotify:track:0c1iL21nLuQNZTWiijOZUG
Stupid Girl,Garbage,spotify:track:0h4fRpHrxBeR3XWHmcolaU
Beautiful Day,U2,spotify:track:5t514bZ4eZPtKJbKfuZJCA
Mysterious Ways,U2,spotify:track:4mWqDrhS85tk5MMV3eCQ9A
Walkin' On The Sun,Smash Mouth,spotify:track:2JAf4C2jcUAGixxywJEUvm
Why Can't We Be Friends,Smash Mouth,spotify:track:66hePiZVEL0JdX9EpFY0Pz
Maria Maria (feat. The Product G&B) - Radio Mix,Santana,spotify:track:3fucYASejkSMwtAYjFRKlF
Stay Together For The Kids,blink-182,spotify:track:3QmjMVakV28Rtk3b3vqdJv
First Date,blink-182,spotify:track:4lLxK3yBvwNoqTFjKC8RNg
The Rock Show,blink-182,spotify:track:3C0f4W0lQSgMARICJF3KLh
Always,blink-182,spotify:track:1JfNuvdAIqI3ggkzXuBvPp
The Middle,Jimmy Eat World,spotify:track:3mcG2NI5G5vhrQtRda1YnA
Sweetness,Jimmy Eat World,spotify:track:18IqyOGs1pRNZfbMo93r57
Bleed American,Jimmy Eat World,spotify:track:4yAEzjMpN9RZxZLqjqmW0X
Pain,Jimmy Eat World,spotify:track:6mW55jsmWapFREmli1SsIM
Work,Jimmy Eat World,spotify:track:0sfdLPLiWJCtV7Qj9tdNtI
Music,Madonna,spotify:track:2BcOZ4vOeu2qZowIHrvTYy
Ms. Jackson,OutKast,spotify:track:0I3q5fE6wg7LIfHGngUTnV
"So Fresh, So Clean",OutKast,spotify:track:6glsMWIMIxQ4BedzLqGVi4
B.O.B.,OutKast,spotify:track:3WibbMr6canxRJXhNtAvLU
The Way You Move (feat. Sleepy Brown) - Radio Mix,OutKast,spotify:track:2gnP10XdjvCyshnV1qODWQ
Hey Ya!,OutKast,spotify:track:3AszgPDZd9q0DpDFt4HFBy
Hanging By A Moment,Lifehouse,spotify:track:0wqOReZDnrefefEsrIGeR4
Nice to Know You,Incubus,spotify:track:77eRSoQbDt4qHlAhUqovmy
Wish You Were Here,Incubus,spotify:track:6KtLECDztnah63TNmV4Plw
Fat Lip,Sum 41,spotify:track:4KacUpvbA3Mfo05gttTjhN
In Too Deep,Sum 41,spotify:track:1HNE2PX70ztbEl6MLxrpNL
Still Waiting,Sum 41,spotify:track:2OMqSRS11ly56zg9u5za6c
The Hell Song,Sum 41,spotify:track:17XgxMFNzBYv38TEJRC18D
It's Been Awhile,Staind,spotify:track:0d2YnyIPgmPQqNSzDg8s8Q
So Far Away,Staind,spotify:track:2cLHkZ5RwSpXpPhfojoR5g
Right Here,Staind,spotify:track:4IuKm1ySdaB7XJRXJIfAvY
Aerials,System Of A Down,spotify:track:4e9eGQYsOiBcftrWXwsVco
Country Grammar (Hot Shit),Nelly,spotify:track:2Lg4kvhOrPhpGEZmSe7VAN
Ride Wit Me,Nelly,spotify:track:06iMqWThw4w8fTFyccvOwr
Hot In Herre,Nelly,spotify:track:04KTF78FFg8sOHC1BADqbY
