Yellow Sky,Book Of Love,spotify:track:4fO1uGMYsh4tZUAln1AVyv
Romantic Traffic,Spoons,spotify:track:3HvNgSRZVZGa26lrVysEyx
"If You Leave - From ""Pretty In Pink""",Orchestral Manoeuvres In The Dark,spotify:track:0Des4gyZ2Z9jq6VA8VPwGE
Lost and Found,Echo & the Bunnymen,spotify:track:3mCYYhjhOtqZjza03hDV4p
Nick the Stripper,The Birthday Party,spotify:track:7BWwq8rX3GpCfV0tacAIke
Blackened (Remastered),Metallica,spotify:track:30mGnM5QNhzMVmIegDhfFs
Eat the Rich,MotÃ¶rhead,spotify:track:7GVwYZGWFXmRnXQkm2pO8S
Hypnotize Me,Wang Chung,spotify:track:59d4ueObaAstLAQCqrRiUN
Hold on Tight,Fantasy,spotify:track:0QuOhaDReLqpaz74YQQx0w
Pride (In The Name Of Love),U2,spotify:track:4Jdr7BkpqkkUwl2pFR0yVj
Hallowed Be Thy Name - 1998 Remastered Version,Iron Maiden,spotify:track:4pvljOTffL98X3b9x86HRu
Dum Dum Girl - 1997 Remaster,Talk Talk,spotify:track:4QeaktgSB7T5m9dap9gTDZ
Hopscotch - Larry Levan Instrumental Mix / Bonus Track,Gwen Guthrie,spotify:track:7nEv9arTiGbPeB0RgYt4b7
Perfect Way,Scritti Politti,spotify:track:3WrOAryvCUOVsm8P8O2DoE
Jessie's Girl,Rick Springfield,spotify:track:2F1fnE1a8zQCogM6jJifHH
Keep Your Hands to Yourself,The Georgia Satellites,spotify:track:5tORtBzHUAnNrIw5Ql3kHZ
Fever,Sylvester,spotify:track:0NqF12epAlvmvDAquhkkUy
Build,The Housemartins,spotify:track:6hkZqkzakw3f21beVQft5o
You Move Me,Gino Soccio,spotify:track:00GOMlXMTweLkyMYUGsNXA
"Moment Of My Life - 12"" Version",Inner Life,spotify:track:0efOcjjzdfBxFJp6MZcXzC
Never Stop! V1.0,Front 242,spotify:track:4xODNnrEvYob2lKQHEIILO
The Fashion Show,Grace Jones,spotify:track:2izkp4u9Uxxy6pIX1kZpvo
Money for Nothing,Dire Straits,spotify:track:4yqtwO7MQIIXqoiRBPHAgR
A Whiter Shade Of Pale,Procol Harum,spotify:track:3k19pe06GkmxNsJw6woFYb
Stay out of the Light,Nile Rodgers,spotify:track:3STL10KKJneDMGedJkPOfM
Uptown,Prince,spotify:track:3IiS3fVdtsMPSHsWBgDcFn
Swimming Horses,Siouxsie and the Banshees,spotify:track:7IbyGtg6Ujai5JXAK2Arlj
Visions Of China - 2003 Digital Remaster,Japan,spotify:track:4GSXKqgFojRdeTxBZql858
Love In The Shadows,E.G. Daily,spotify:track:67rGdo1Lll7eMUtPR23lnQ
Truth Of Self Evidence - Extended Mix,Reese & Santonio,spotify:track:0E7RYRVeaRcOL3ucFedfi0
Crushed By The Wheels Of Industry - Extended Dance Mix / Remastered 2006,Heaven 17,spotify:track:6rR4axikfugNK6VDonFFXA
Here I Go Again 87 - 2007 Remastered Version,Whitesnake,spotify:track:51tuwnX8OPvQCXoBnjMkfF
Gigantic,Pixies,spotify:track:3oqJ3POeLfa2TJh6BFLhPM
Pictures of You,The Cure,spotify:track:1tuwC1Ob5vnYZhvg3zyzJg
(Here I Am) Waiting For You - Original Extended Version,Boys Town Gang,spotify:track:2ix4o4ZfcLQGaMdmhzPfrW
No Time To Cry,Sisters of Mercy,spotify:track:0jmGEKfdkvWA4XyHgpwr4t
Kasso,Kasso,spotify:track:3SSaf0UGr8xGIcuC1iGKfI
Duel,Propaganda,spotify:track:06g7ClHNAHPEW8q2U5oukN
What Have I Done to Deserve This? (with Dusty Springfield) - Extended Mix; 2001 Remaster,Pet Shop Boys,spotify:track:4US37670cNpOmMv1t8DIPT
IÂ´m Ready - Extended,Kano,spotify:track:6lQktxAz3ItfO5aaNXEOA6
L'amour Ã  la plage,Niagara,spotify:track:4mII9EfvzMukROnehYgqG3
Leave a Tender Moment Alone,Billy Joel,spotify:track:4Qw41GUmS4rF7GR3am9Rt6
Back To The Barrooms Again - Live At Anaheim,Merle Haggard,spotify:track:2ZZubNAowCtjPQxM9nFVon
Looks That Kill,MÃ¶tley CrÃ¼e,spotify:track:5uRN4EmPA7BWs5f4xsIl0Z
Food For Thought,UB40,spotify:track:5YkkeIiErNf2ckvMxmT5RT
True Love Pt. #2,X,spotify:track:2XqdHmsmTTxfQBZ1TTjSy4
Nightrain,Guns N' Roses,spotify:track:2vNw57KPaYDzkyPxXYUORX
Weekend (Weekend Club) [the Wam Bam Mix],The Todd Terry Project,spotify:track:3xvkdpv7lQuJVs11NYrVil
Where Is My Mind?,Pixies,spotify:track:6mcxQ1Y3uQRU0IHsvdNLH1
We Love You - 12'' Version,Orchestral Manoeuvres In The Dark,spotify:track:5asGqTqDfnz7JyY6C6uLOd
