Track,Artist,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorusHit,sections
Incomplete Burning,Vaura,spotify:track:7sMAgDYCMDv6R9B3WA2jl4,0.228,0.808,8,-8.544,0,0.0642,2.53e-05,0.93,0.278,0.125,145.068,327973,4,26.8601,13
Followed Home Then Killed,Cannibal Corpse,spotify:track:5hHlnflNWv3mjkbUghu22V,0.251,0.993,10,-4.789,0,0.238,0.000357,0.605,0.31,0.14,100.994,216547,4,27.65755,6
The Rains of Castamere,Ramin Djawadi,spotify:track:22QlahCajS3dAN9y8v7ssX,0.179,0.154,5,-21.45,0,0.0385,0.89,0.000163,0.371,0.11,94.248,162320,5,22.84554,8
In the Distance Fading,God Is An Astronaut,spotify:track:0F3ahn63Sgz3HWAuhty5Ex,0.163,0.634,5,-8.949,1,0.0328,0.000368,0.787,0.125,0.113,109.374,271787,5,33.29768,10
Hatesong - Live,Porcupine Tree,spotify:track:2C9gxu9TBT940e6Wdhyr5p,0.434,0.618,11,-12.51,0,0.0494,0.00145,0.589,0.947,0.656,174.176,597053,4,29.96834,22
Sorrowl,Suotana,spotify:track:2s6U36PGBRgEkl1bf3SdG2,0.135,0.812,10,-11.338,1,0.0676,2.12e-06,0.781,0.354,0.186,144.993,317240,4,34.60818,10
Distant Sures,The Cave Singers,spotify:track:6uBexmz61ckt5XQRqTgF3M,0.604,0.363,10,-11.674,1,0.0295,0.876,0.166,0.165,0.672,88.377,191267,4,88.45046,6
Stars Appear,Adam Young,spotify:track:29esOEzJfvRtpph7kXVOMh,0.627,0.514,0,-12.861,1,0.0293,0.918,0.87,0.0909,0.194,127.959,139813,4,37.16838,7
She Wouldn't Be Gone,Blake Shelton,spotify:track:20xK9pC1cCJKnjtJ37YNOQ,0.509,0.662,0,-4.873,1,0.0293,0.153,0,0.0773,0.231,160.129,215613,4,27.93024,13
The River,Wage War,spotify:track:2iLl6cs7VkHya8zEiEMEMD,0.539,0.949,8,-6.345,1,0.0839,1.63e-05,0.165,0.0811,0.208,144.945,228120,4,61.38941,9
Some Boys,Death Cab for Cutie,spotify:track:5ftG1XZ56uZWMvUhfJx7et,0.489,0.706,9,-9.445,1,0.048,0.0171,0.201,0.125,0.495,145.272,190720,3,65.79628,5
Nightwalkers,Omnium Gatherum,spotify:track:5gUZKAvCDZ5Nk0kzGjbqeX,0.166,0.876,6,-6.242,0,0.121,0.00124,0.481,0.0871,0.109,177.01,495253,3,71.71049,15
Faceless,Fractal Gates,spotify:track:0D0UQVnQLEXTajPtTph0Px,0.377,0.987,7,-4.765,1,0.0662,5.7e-06,0.0216,0.122,0.183,155.03,299133,4,31.65215,12
Feuer Frei - Exclusive Bonus Track,Sabaton,spotify:track:6zI64pUTWBz3TY7YqlmJpo,0.474,0.99,1,-5.15,0,0.0835,0.000137,0.131,0.0407,0.0714,95.003,192000,4,31.65204,5
Regret,Numenorean,spotify:track:5sHMpCP7y29Dfcra8OZc5J,0.388,0.968,0,-5.149,0,0.0823,6.26e-06,0.852,0.225,0.326,163.03,415506,4,45.04963,12
Catastrophic,Armors,spotify:track:0xtWbdkzNTcC6jjVcQFwhA,0.573,0.799,6,-7.133,0,0.0468,0.104,0,0.19,0.504,136.94,200359,4,29.78444,10
It's Hard To Be Religious When Certain People Are Never Incinerated By Bolts Of Lightning,Mayday Parade,spotify:track:4Baiha56S48TBgyEWU35D3,0.51,0.984,1,-4.268,0,0.0866,0.000437,0,0.341,0.282,115.003,202195,4,70.17159,8
Prayers for Rain,A Pale Horse Named Death,spotify:track:244dForyaUpnVoRUVA9noG,0.457,0.802,6,-7.836,1,0.0308,2.61e-05,0.798,0.112,0.187,104.985,395947,4,33.71181,10
Surrender,MONO,spotify:track:1PMXYbvULqnO22sIBvwYDc,0.11,0.285,7,-10.33,1,0.0403,0.358,0.779,0.116,0.0814,93.592,460493,5,45.32194,19
Bad Ideas,Tessa Violet,spotify:track:5mDoCVaqHmpqDyj28v666H,0.786,0.52,0,-7.554,0,0.281,0.602,0.00105,0.1,0.378,80.046,179497,4,50.33399,7
"Different Me, Brand New you",Baulta,spotify:track:1tEuWuJSLwnHsEhAH3dbc8,0.476,0.664,6,-7.886,0,0.0285,0.013,0.109,0.278,0.0386,105.033,397880,4,31.60813,15
Emersion,hubris.,spotify:track:7DVyztdEu6gMVWTBzXYn66,0.169,0.392,9,-10.946,0,0.0343,0.378,0.906,0.0862,0.037,97.007,347760,4,32.65704,14
I Drive the Hearse - Live,Porcupine Tree,spotify:track:5yeF0yUBdgODxBMmkU8fMU,0.566,0.282,7,-16.28,1,0.0303,0.227,0.0559,0.172,0.363,129.945,408933,3,44.78036,15
Kascade,Animals As Leaders,spotify:track:7hY2Kc7Hvu0BudOoQwu8Ez,0.472,0.979,6,-4.386,0,0.181,0.00577,0.814,0.286,0.25,159.969,323728,3,27.90847,16
Architektur der Empfindungen,JÃÂÃÂÃÂÃÂ¼rg Frey,spotify:track:4JpsgL9TqRC2ZpKzZDYJc4,0.106,0.00412,8,-33.426,1,0.0536,0.955,0.21,0.151,0.0344,77.27,1005693,5,14.90192,46
Stones,Novarupta,spotify:track:1kEvW7MKAdHHuzXGnOAdSy,0.429,0.76,4,-9.746,0,0.0518,1.27e-05,0.827,0.64,0.238,117.997,351373,4,89.51167,7
Leviatan,Raubtier,spotify:track:3oLOQFmz6OfFbGrI4sUTaR,0.552,0.966,1,-4.361,0,0.0509,0.000607,0.00039,0.23,0.428,99.963,228750,4,48.97395,10
Hickory '54,Caspian,spotify:track:3lUVDM2whuOCtsf0xwZfy9,0.264,0.836,7,-6.025,1,0.0845,0.00649,0.673,0.145,0.175,193.624,364053,3,74.3655,11
